#Frame,Timer,HeadX,HeadY,HeadZ,HeadRX,HeadRY,HeadRZ,LHandX,LHandY,LHandZ,LHandRX,LHandRY,LHandRZ,RHandX,RHandY,RHandZ,RHandRX,RHandRY,RHandRZ,LEyeRX,LEyeRY,LEyeRZ,REyeRX,REyeRY,REyeRZ,LEyeConf,REyeConf
1.0,0.00750045,-0.3169399,1.553792,0.2859664,31.8577,52.9173,359.157,-0.3372947,1.554219,0.3133365,31.8577,52.9173,359.157,-0.2965851,1.553366,0.2585964,31.8577,52.9173,359.157,60.28255,59.67963,-3.444558e-06,60.41132,54.56224,0.0,0.5,0.5
2.0,0.01717965,-0.3169723,1.553651,0.2863185,31.91676,52.92607,359.1488,-0.3373204,1.554081,0.3136934,31.91676,52.92607,359.1488,-0.2966242,1.553221,0.2589435,31.91676,52.92607,359.1488,60.31333,59.67289,-3.447803e-06,60.44133,54.55062,6.922754e-06,0.5,0.5
3.0,0.022498,-0.3170854,1.553454,0.2866233,32.03115,52.94395,359.2052,-0.3374389,1.553855,0.3139947,32.03115,52.94395,359.2052,-0.296732,1.553053,0.2592518,32.03115,52.94395,359.2052,59.93873,59.6388,0.0,60.06564,54.56083,-6.843771e-06,0.5,0.5
4.0,0.02915735,-0.3172292,1.553239,0.2869049,32.16166,52.94369,359.2521,-0.3375941,1.553616,0.3142682,32.16166,52.94369,359.2521,-0.2968644,1.552862,0.2595416,32.16166,52.94369,359.2521,60.05294,59.73112,-3.42057e-06,60.18464,54.63563,0.0,0.5,0.5
5.0,0.03586035,-0.3175379,1.553006,0.2875206,32.24873,52.91213,359.3089,-0.3379321,1.553354,0.3148625,32.24873,52.91213,359.3089,-0.2971438,1.552658,0.2601787,32.24873,52.91213,359.3089,60.16037,59.76913,3.431745e-06,60.29649,54.65706,0.0,0.5,0.5
6.0,0.0448098,-0.3176441,1.552847,0.2878959,32.29446,52.8468,359.3131,-0.3380703,1.553192,0.3152138,32.29446,52.8468,359.3131,-0.2972179,1.552501,0.2605779,32.29446,52.8468,359.3131,60.23075,59.80598,3.43911e-06,60.37086,54.68303,-3.453888e-06,0.5,0.5
7.0,0.0498909,-0.3177839,1.552595,0.2881932,32.34122,52.76551,359.3781,-0.3382654,1.552908,0.3154701,32.34122,52.76551,359.3781,-0.2973024,1.552282,0.2609162,32.34122,52.76551,359.3781,60.27884,59.80096,3.444166e-06,60.42191,54.67056,0.0,0.5,0.5
8.0,0.0567709,-0.3181301,1.552395,0.2885545,32.4088,52.6819,359.4399,-0.338667,1.552677,0.3157901,32.40881,52.6819,359.4399,-0.2975933,1.552113,0.2613189,32.40881,52.6819,359.4399,60.35382,59.40081,0.0,60.4842,54.67196,3.465949e-06,0.5,0.5
9.0,0.06378245,-0.318493,1.55212,0.2889203,32.49327,52.61269,359.4365,-0.3390615,1.552403,0.3161319,32.49327,52.61269,359.4365,-0.2979245,1.551837,0.2617086,32.49327,52.61269,359.4365,60.4264,59.32716,0.0,60.55852,54.58785,6.947821e-06,0.5,0.5
10.0,0.07042234,-0.3188652,1.551843,0.2891851,32.59756,52.54753,359.4349,-0.3394638,1.552126,0.316374,32.59756,52.54753,359.4349,-0.2982665,1.551559,0.2619962,32.59756,52.54753,359.4349,60.94303,59.32199,-7.031586e-06,61.07613,54.53292,-7.061126e-06,0.5,0.5
11.0,0.079335,-0.319188,1.551566,0.2893108,32.72566,52.47348,359.4592,-0.3398275,1.551837,0.3164688,32.72566,52.47348,359.4592,-0.2985485,1.551295,0.2621529,32.72566,52.47348,359.4592,61.06285,59.27637,3.529085e-06,61.19653,54.46915,0.0,0.5,0.5
12.0,0.08404065,-0.319566,1.551437,0.2896679,32.84855,52.4285,359.5059,-0.3402385,1.551684,0.316801,32.84855,52.4285,359.5059,-0.2988935,1.551189,0.2625348,32.84855,52.4285,359.5059,61.16746,59.29386,3.540783e-06,61.3052,54.47084,3.556324e-06,0.5,0.5
13.0,0.09114335,-0.3198753,1.551206,0.2899719,32.93575,52.33857,359.5099,-0.3405911,1.55145,0.317072,32.93575,52.33857,359.5099,-0.2991595,1.550961,0.2628718,32.93575,52.33857,359.5099,61.72353,59.31523,0.0,61.86449,54.4264,-3.621071e-06,0.5,0.5
14.0,0.09800905,-0.3202237,1.550979,0.2902942,33.00714,52.25768,359.5498,-0.3409879,1.551204,0.3173575,33.00714,52.25768,359.5498,-0.2994596,1.550755,0.263231,33.00714,52.25768,359.5498,61.80783,59.31395,-3.614389e-06,61.95222,54.41186,-3.631473e-06,0.5,0.5
15.0,0.1074926,-0.3205549,1.550819,0.290618,33.08574,52.174,359.6206,-0.3413767,1.551008,0.3176372,33.08574,52.174,359.6206,-0.2997331,1.550629,0.2635988,33.08574,52.174,359.6206,61.87944,59.26149,7.245676e-06,62.02726,54.34804,-7.280852e-06,0.5,0.5
16.0,0.1121752,-0.3209549,1.550607,0.2909151,33.17218,52.10004,359.6357,-0.3418153,1.550788,0.3179046,33.17218,52.10004,359.6357,-0.3000946,1.550425,0.2639256,33.17218,52.10004,359.6357,61.94527,59.26609,0.0,62.09682,54.34225,3.648769e-06,0.5,0.5
17.0,0.1202457,-0.3214048,1.550337,0.2911513,33.26398,52.0542,359.6551,-0.3422915,1.550508,0.3181204,33.26398,52.0542,359.6551,-0.3005181,1.550165,0.2641821,33.26398,52.0542,359.6551,62.01421,59.66396,3.638864e-06,62.17502,55.15145,-3.658201e-06,0.5,0.5
18.0,0.1272778,-0.3217928,1.55002,0.2913157,33.39942,52.04066,359.7088,-0.3426996,1.550165,0.3182694,33.39942,52.04066,359.7088,-0.300886,1.549876,0.2643619,33.39942,52.04066,359.7088,62.12096,59.66322,-3.651675e-06,62.28405,55.13499,7.34289e-06,0.5,0.5
19.0,0.1322804,-0.3223654,1.549874,0.2913059,33.50603,51.96269,359.7201,-0.3433116,1.550013,0.3182291,33.50603,51.96269,359.7201,-0.3014193,1.549735,0.2643827,33.50603,51.96269,359.7201,62.25758,59.80025,3.668221e-06,62.42669,55.25197,-3.688937e-06,0.5,0.5
20.0,0.140894,-0.3226283,1.549746,0.2917887,33.65062,51.92059,359.8148,-0.3436188,1.549837,0.3186776,33.65062,51.92059,359.8148,-0.3016379,1.549654,0.2648998,33.65062,51.92059,359.8148,62.10562,60.99305,7.299654e-06,62.34188,55.61337,3.678513e-06,0.5,0.5
