#Frame,Timer,HeadX,HeadY,HeadZ,HeadRX,HeadRY,HeadRZ,LHandX,LHandY,LHandZ,LHandRX,LHandRY,LHandRZ,RHandX,RHandY,RHandZ,RHandRX,RHandRY,RHandRZ,LEyeRX,LEyeRY,LEyeRZ,REyeRX,REyeRY,REyeRZ,LEyeConf,REyeConf
1.0,0.0130442,-0.7572705,1.561284,-0.2469123,340.2018,311.241,357.6267,-0.7794209,1.562616,-0.2729052,340.2018,311.241,357.6267,-0.73512,1.559953,-0.2209194,340.2018,311.241,357.6267,346.4353,310.7882,8.782725e-07,346.3138,306.7016,-8.787239e-07,0.5,0.5
2.0,0.01735235,-0.7563136,1.561753,-0.2474022,339.7387,310.9409,357.7303,-0.7783372,1.563022,-0.2735056,339.7387,310.9409,357.7303,-0.7342899,1.560483,-0.2212987,339.7387,310.9409,357.7303,345.9466,310.4937,0.0,345.8333,306.3983,0.0,0.5,0.5
3.0,0.02686555,-0.7560732,1.562102,-0.2474151,339.4963,310.9326,357.8423,-0.7781084,1.563308,-0.2735119,339.4963,310.9326,357.8423,-0.734038,1.560897,-0.2213182,339.4963,310.9326,357.8423,345.6337,310.4262,0.0,345.524,306.0977,8.817675e-07,0.5,0.5
4.0,0.0366568,-0.7537175,1.563467,-0.2484558,338.1321,310.33,358.1134,-0.7755048,1.564511,-0.2747668,338.1321,310.33,358.1134,-0.7319301,1.562423,-0.2221448,338.1321,310.33,358.1134,345.0759,311.1592,-8.835787e-07,344.9579,306.5587,8.840657e-07,0.5,0.5
5.0,0.04191035,-0.7513487,1.56475,-0.2495686,336.6534,309.7498,358.4179,-0.7729067,1.565617,-0.2760742,336.6534,309.7498,358.4179,-0.7297907,1.563884,-0.223063,336.6534,309.7498,358.4179,343.8701,310.5916,-1.33314e-06,343.7706,305.9637,8.892081e-07,0.5,0.5
6.0,0.0487926,-0.7512305,1.564836,-0.2496255,336.1838,309.7126,358.4127,-0.7727649,1.565702,-0.2761504,336.1838,309.7126,358.4127,-0.7296962,1.56397,-0.2231006,336.1838,309.7126,358.4127,335.6087,310.2006,0.0,335.5523,305.2924,-9.378631e-07,0.5,0.5
7.0,0.0650079,-0.7494643,1.565675,-0.2506753,335.1031,309.5952,357.9914,-0.7708452,1.566761,-0.2773159,335.1031,309.5952,357.9914,-0.7280835,1.564588,-0.2240347,335.1031,309.5952,357.9914,328.9515,309.2464,0.0,328.9269,304.3692,-1.993612e-06,0.5,0.5
8.0,0.07532825,-0.7431897,1.567586,-0.253471,332.2096,308.8286,357.7566,-0.7641159,1.568769,-0.2804661,332.2096,308.8286,357.7566,-0.7222635,1.566402,-0.2264758,332.2096,308.8286,357.7566,328.1709,309.1086,1.004883e-06,328.1361,304.1903,0.0,0.5,0.5
9.0,0.09270041,-0.7398743,1.568586,-0.2550766,330.9356,308.5951,357.6337,-0.7606402,1.569819,-0.282193,330.9356,308.5951,357.6337,-0.7191084,1.567353,-0.2279601,330.9356,308.5951,357.6337,325.2889,308.3532,-1.038612e-06,325.2509,303.2697,-2.078179e-06,0.5,0.5
10.0,0.105941,-0.7384486,1.56895,-0.2558281,330.457,308.5611,357.4985,-0.7591572,1.570248,-0.2829853,330.457,308.5611,357.4985,-0.7177401,1.567652,-0.2286708,330.457,308.5611,357.4985,326.3811,309.132,3.075781e-06,326.2884,304.075,0.0,0.5,0.5
11.0,0.1141978,-0.7352595,1.569256,-0.2570701,329.5489,308.3758,357.392,-0.7558371,1.570596,-0.2843246,329.5489,308.3758,357.392,-0.7146819,1.567915,-0.2298155,329.5489,308.3758,357.392,326.9523,308.9993,2.037118e-06,326.8523,304.2468,-1.019719e-06,0.5,0.5
12.0,0.1285906,-0.7320862,1.569494,-0.2584117,328.8176,308.2603,357.4648,-0.7526143,1.570787,-0.2857058,328.8176,308.2603,357.4648,-0.7115581,1.568201,-0.2311175,328.8176,308.2603,357.4648,328.6175,310.2676,-1.000075e-06,328.4416,304.5342,-1.001955e-06,0.5,0.5
13.0,0.1444038,-0.7289134,1.569905,-0.259919,327.9853,308.1684,357.5328,-0.7494009,1.571152,-0.2872457,327.9853,308.1684,357.5328,-0.7084258,1.568657,-0.2325922,327.9853,308.1684,357.5328,327.8668,310.1761,0.0,327.6997,304.3958,0.0,0.5,0.5
14.0,0.1597286,-0.7258754,1.570454,-0.2614322,327.0475,308.0522,357.6026,-0.7463104,1.571654,-0.2888004,327.0475,308.0522,357.6026,-0.7054403,1.569254,-0.2340641,327.0475,308.0522,357.6026,328.3301,310.0091,0.0,328.1706,304.5201,1.004886e-06,0.5,0.5
15.0,0.1725322,-0.7226946,1.570874,-0.2631214,326.3067,307.9542,357.5603,-0.7430589,1.572085,-0.2905417,326.3067,307.9542,357.5603,-0.7023304,1.569664,-0.235701,326.3067,307.9542,357.5603,329.4458,309.7122,1.982872e-06,329.2961,304.5629,9.929713e-07,0.5,0.5
16.0,0.1829405,-0.7191727,1.571314,-0.2648525,325.6898,307.7793,357.6867,-0.7394784,1.572454,-0.2923193,325.6898,307.7793,357.6867,-0.698867,1.570175,-0.2373857,325.6898,307.7793,357.6867,330.2517,309.5469,0.0,330.1004,304.4402,-1.969716e-06,0.5,0.5
17.0,0.1967789,-0.7159623,1.571398,-0.2662426,324.7192,307.6936,357.9123,-0.7362763,1.572415,-0.2937081,324.7192,307.6936,357.9123,-0.6956483,1.570382,-0.2387772,324.7192,307.6936,357.9123,330.1313,309.3404,0.0,329.9944,304.2251,0.0,0.5,0.5
