#Frame,Timer,HeadX,HeadY,HeadZ,HeadRX,HeadRY,HeadRZ,LHandX,LHandY,LHandZ,LHandRX,LHandRY,LHandRZ,RHandX,RHandY,RHandZ,RHandRX,RHandRY,RHandRZ,LEyeRX,LEyeRY,LEyeRZ,REyeRX,REyeRY,REyeRZ,LEyeConf,REyeConf
1.0,0.00740255,-0.1076085,1.015733,-0.4860165,35.38884,326.509,359.6192,-0.1361287,1.015917,-0.5047297,35.38884,326.509,359.6192,-0.07908835,1.015548,-0.4673033,35.38884,326.509,359.6192,48.95606,328.307,-1.30022e-06,48.89451,323.0612,1.298619e-06,0.5,0.5
2.0,0.01720685,-0.1080447,1.01632,-0.4859054,35.19493,326.5241,359.6245,-0.1365685,1.016502,-0.5046132,35.19493,326.5241,359.6245,-0.07952093,1.016137,-0.4671976,35.19493,326.5241,359.6245,48.62103,327.9716,0.0,48.53443,322.4405,-2.578714e-06,0.5,0.5
3.0,0.02638385,-0.1085733,1.016796,-0.4856403,34.88107,326.528,359.6221,-0.1370983,1.016981,-0.5043463,34.88107,326.528,359.6221,-0.0800484,1.016612,-0.4669344,34.88107,326.528,359.6221,48.40947,327.9773,0.0,48.32346,322.4692,2.568031e-06,0.5,0.5
4.0,0.0296721,-0.1090788,1.017385,-0.4854215,34.52282,326.5522,359.6581,-0.1376044,1.017553,-0.5041265,34.52282,326.5522,359.6581,-0.08055316,1.017217,-0.4667164,34.52282,326.5522,359.6581,48.30676,327.3407,0.0,48.19071,321.8372,0.0,0.5,0.5
5.0,0.035666,-0.108997,1.017926,-0.4856445,34.25299,326.4972,359.7595,-0.1374857,1.018044,-0.5044061,34.25299,326.4972,359.7595,-0.08050828,1.017808,-0.4668828,34.25299,326.4972,359.7595,47.98372,327.3529,0.0,47.87235,321.8834,2.545597e-06,0.5,0.5
6.0,0.0426175,-0.1089251,1.018464,-0.4860207,34.16337,326.4891,359.8403,-0.1373963,1.018543,-0.5048091,34.16337,326.4891,359.8403,-0.08045391,1.018385,-0.4672324,34.16337,326.4891,359.8403,47.80685,327.3525,1.271192e-06,47.70477,321.9007,-1.268701e-06,0.5,0.5
7.0,0.0490131,-0.108759,1.019057,-0.486345,34.18896,326.5511,359.8521,-0.1372483,1.01913,-0.5051059,34.18896,326.5511,359.8521,-0.08026962,1.018984,-0.4675841,34.18896,326.5511,359.8521,47.54001,327.3728,-3.794127e-06,47.44266,321.9474,-1.262367e-06,0.5,0.5
8.0,0.05602845,-0.1088573,1.019711,-0.4863544,34.09361,326.678,359.8498,-0.1373885,1.019786,-0.5050516,34.09361,326.678,359.8498,-0.08032607,1.019637,-0.4676572,34.09361,326.678,359.8498,47.52515,327.4928,1.264351e-06,47.42904,322.0688,1.26204e-06,0.5,0.5
9.0,0.06272155,-0.1089786,1.02054,-0.4857959,33.77984,326.7354,359.9261,-0.1375145,1.020576,-0.504486,33.77984,326.7354,359.9261,-0.08044271,1.020503,-0.4671057,33.77984,326.7354,359.9261,47.35426,327.5833,1.26025e-06,47.2601,322.1767,1.258007e-06,0.5,0.5
10.0,0.06975595,-0.1090872,1.021131,-0.485043,33.30677,326.8031,0.09082112,-0.1376155,1.021086,-0.5037447,33.30677,326.8031,0.09082112,-0.08055884,1.021176,-0.4663413,33.30677,326.8031,0.09082112,46.98377,327.6438,-1.251491e-06,46.90994,322.5879,2.499531e-06,0.5,0.5
11.0,0.0768893,-0.1086261,1.021588,-0.4848107,32.83857,326.8067,0.2765492,-0.1371226,1.02145,-0.5035603,32.83857,326.8067,0.2765492,-0.08012947,1.021726,-0.4660612,32.83857,326.8067,0.2765492,46.50188,327.7252,0.0,46.43866,322.7134,1.238914e-06,0.5,0.5
12.0,0.08354785,-0.1080654,1.02199,-0.4850109,32.57323,326.8127,0.3964756,-0.1365429,1.021791,-0.5037888,32.57323,326.8127,0.3964756,-0.07958788,1.022189,-0.4662329,32.57323,326.8127,0.3964756,46.09248,328.7289,0.0,46.07948,323.4593,0.0,0.5,0.5
13.0,0.09035575,-0.1075158,1.022521,-0.4853393,32.5013,326.9215,0.3743614,-0.1360329,1.022333,-0.5040571,32.5013,326.9215,0.3743614,-0.0789986,1.022709,-0.4666215,32.5013,326.9215,0.3743614,45.86271,328.7969,0.0,45.85664,323.5488,0.0,0.5,0.5
14.0,0.0977806,-0.1069126,1.023121,-0.4856166,32.40017,327.0335,0.2884692,-0.1354816,1.022976,-0.5042555,32.40017,327.0335,0.2884692,-0.07834354,1.023266,-0.4669777,32.40017,327.0335,0.2884692,45.79324,328.8706,1.224487e-06,45.78304,323.6293,0.0,0.5,0.5
15.0,0.1081144,-0.1062838,1.023869,-0.4859418,32.35469,327.2598,0.1368958,-0.1349526,1.0238,-0.5044272,32.35469,327.2598,0.1368947,-0.07761487,1.023938,-0.4674564,32.35469,327.2598,0.1368947,46.63081,329.0398,-1.243305e-06,46.61005,323.7179,-1.242828e-06,0.5,0.5
16.0,0.111528,-0.1056762,1.024617,-0.4861997,32.24062,327.4634,0.0333095,-0.1344284,1.0246,-0.5045553,32.24062,327.4634,0.0333095,-0.07692389,1.024634,-0.4678441,32.24062,327.4634,0.0333095,46.55195,329.2087,2.482996e-06,46.52032,323.8952,1.240775e-06,0.5,0.5
17.0,0.1183238,-0.1050567,1.025284,-0.4865034,32.04665,327.6249,0.05136947,-0.1338575,1.025258,-0.5047826,32.04665,327.6249,0.05136947,-0.07625582,1.02531,-0.4682242,32.04665,327.6249,0.05136947,47.08799,329.4082,-1.253937e-06,47.05418,324.0424,0.0,0.5,0.5
18.0,0.1254741,-0.1044103,1.026052,-0.4868948,31.78108,327.6343,0.06751817,-0.1332115,1.026018,-0.5051734,31.78108,327.6343,0.06751817,-0.07560915,1.026087,-0.4686161,31.78108,327.6343,0.06751817,46.86769,329.5024,1.248781e-06,46.83666,324.1585,-3.744179e-06,0.5,0.5
19.0,0.1320464,-0.1036057,1.026868,-0.4877787,31.59275,327.6438,0.003369817,-0.1324207,1.026867,-0.5060356,31.59275,327.6438,0.003369817,-0.07479074,1.02687,-0.4695217,31.59275,327.6438,0.003369817,46.62023,329.5226,1.243062e-06,46.58918,324.2032,-2.4847e-06,0.5,0.5
20.0,0.1391307,-0.1025573,1.027709,-0.4888909,31.48716,327.6702,359.9087,-0.1313965,1.027755,-0.5071096,31.48716,327.6702,359.9087,-0.07371822,1.027662,-0.4706722,31.48716,327.6702,359.9087,47.56447,329.4942,1.265299e-06,47.54314,324.7494,-1.264784e-06,0.5,0.5
21.0,0.1483907,-0.1015927,1.028535,-0.4899809,31.45988,327.763,359.8598,-0.1304694,1.028606,-0.50814,31.45988,327.763,359.8598,-0.07271607,1.028464,-0.4718218,31.45988,327.763,359.8598,47.54587,329.5021,-1.26485e-06,47.51784,324.7594,2.528348e-06,0.5,0.5
22.0,0.1537064,-0.1008339,1.029503,-0.4908354,31.3049,327.8424,359.7672,-0.1297507,1.029621,-0.5089303,31.3049,327.8424,359.7672,-0.07191713,1.029384,-0.4727404,31.3049,327.8424,359.7672,47.44267,329.559,2.524734e-06,47.40304,324.5219,0.0,0.5,0.5
23.0,0.1594353,-0.1001077,1.030425,-0.4917741,31.01103,327.9136,359.6303,-0.1290685,1.030613,-0.5097978,31.01103,327.9136,359.6303,-0.07114682,1.030236,-0.4737504,31.01103,327.9136,359.6303,47.25721,329.6159,-1.257939e-06,47.21103,324.5969,0.0,0.5,0.5
24.0,0.1664865,-0.09950496,1.031664,-0.4926286,30.65951,328.0527,359.5623,-0.1285195,1.031888,-0.5105652,30.65951,328.0527,359.5623,-0.07049038,1.03144,-0.4746919,30.65951,328.0527,359.5623,46.96935,329.657,1.251153e-06,46.92533,324.9818,0.0,0.5,0.5
25.0,0.1734526,-0.09870522,1.033097,-0.4937443,30.35627,328.2055,359.4722,-0.1277808,1.033368,-0.5115812,30.35627,328.2055,359.4722,-0.06962961,1.032826,-0.4759073,30.35627,328.2055,359.4722,46.62602,329.7338,-1.243195e-06,46.57553,325.0886,-1.242037e-06,0.5,0.5
26.0,0.1843022,-0.09785438,1.034233,-0.4950094,30.0499,328.3742,359.402,-0.1269922,1.034541,-0.5127438,30.0499,328.3742,359.402,-0.06871651,1.033925,-0.477275,30.0499,328.3742,359.402,46.31631,329.8658,0.0,46.25997,325.2474,0.0,0.5,0.5
27.0,0.1874049,-0.09709251,1.035538,-0.4963454,29.72411,328.5729,359.3693,-0.1262957,1.035864,-0.5139718,29.72411,328.5729,359.3693,-0.06788937,1.035212,-0.478719,29.72411,328.5729,359.3693,44.0574,335.4488,0.0,44.22163,330.3596,-1.191344e-06,0.5,0.5
