#Frame, Timer, HeadX, HeadY, HeadZ, HeadRX, HeadRY, HeadRZ, LHandX, LHandY, LHandZ, LHandRX, LHandRY, LHandRZ, RHandX, RHandY, RHandZ, RHandRX, RHandRY, RHandRZ, LEyeRX, LEyeRY, LEyeRZ, REyeRX, REyeRY, REyeRZ, LEyeConf, REyeConf
1 0.00691465 1.02496 1.56259 -0.3541984 355.842 320.1917 0.698808 0.9983281 1.562168 -0.3763537 355.842 320.1917 0.698808 1.051592 1.563011 -0.332043 355.842 320.1917 0.698808 351.8513 311.6851 0 351.989 307.8911 6.466405E-07 0.5 0.5
2 0.0164734 1.024983 1.563492 -0.3550723 355.4812 319.9262 0.8638729 0.9984482 1.562971 -0.377342 355.4812 319.9262 0.8638729 1.051517 1.564013 -0.3328027 355.4812 319.9262 0.8638729 351.4913 311.4219 2.158189E-07 351.6434 307.6252 2.157339E-07 0.5 0.5
3 0.02219555 1.025031 1.564383 -0.3560426 355.0943 319.6831 1.008686 0.9985855 1.563775 -0.3784153 355.0943 319.6831 1.008686 1.051477 1.564991 -0.3336699 355.0943 319.6831 1.008686 351.1873 311.1675 -2.159933E-07 351.3532 307.3684 0 0.5 0.5
4 0.02878775 1.025098 1.565491 -0.3571138 354.6169 319.4021 1.139329 0.9987557 1.564806 -0.3796055 354.6169 319.4021 1.139329 1.051441 1.566177 -0.3346221 354.6169 319.4021 1.139329 350.7855 310.8918 4.324675E-07 350.9652 307.0892 0 0.5 0.5
5 0.0356699 1.025293 1.566299 -0.3583298 354.1412 319.1552 1.216105 0.9990418 1.565568 -0.3809263 354.1412 319.1552 1.216105 1.051545 1.567031 -0.3357334 354.1412 319.1552 1.216105 350.3913 310.6367 4.32961E-07 350.5829 306.8305 -8.654367E-07 0.5 0.5
6 0.0425967 1.025608 1.567399 -0.3596073 353.7383 318.8485 1.361283 0.9994699 1.566581 -0.3823316 353.7383 318.8485 1.361283 1.051747 1.568217 -0.336883 353.7383 318.8485 1.361283 350.8015 310.8182 0 350.9781 307.2393 0 0.5 0.5
7 0.04928465 1.025871 1.56856 -0.361026 353.2683 318.5108 1.505947 0.9998575 1.567655 -0.3838898 353.2683 318.5108 1.505947 1.051885 1.569464 -0.3381622 353.2683 318.5108 1.505947 350.4181 310.5146 0 350.6076 306.9326 0 0.5 0.5
8 0.0563287 1.026092 1.57012 -0.3625067 352.8132 318.1593 1.6015 1.00021 1.569159 -0.3855179 352.8132 318.1593 1.6015 1.051973 1.571081 -0.3394955 352.8132 318.1593 1.6015 349.9893 310.6225 4.334865E-07 350.1864 307.0363 -8.66452E-07 0.5 0.5
9 0.0632911 1.026348 1.572047 -0.3640694 352.2878 317.8015 1.653493 1.000603 1.571056 -0.3872315 352.2878 317.8015 1.653493 1.052093 1.573038 -0.3409073 352.2878 317.8015 1.653493 349.5237 310.2608 0 349.7301 306.67 4.338373E-07 0.5 0.5
10 0.07197625 1.026885 1.574562 -0.3655291 351.6431 317.3958 1.671532 1.001296 1.573563 -0.3888633 351.6431 317.3958 1.671532 1.052474 1.575562 -0.3421948 351.6431 317.3958 1.671532 349.3672 310.0989 -4.343447E-07 349.5605 306.7326 0 0.5 0.5
11 0.0766839 1.027437 1.576731 -0.3670718 350.891 317.0195 1.684458 1.001992 1.575725 -0.390563 350.891 317.0195 1.684458 1.052882 1.577736 -0.3435806 350.891 317.0195 1.684458 348.7892 309.7057 -4.351908E-07 348.9917 306.3334 0 0.5 0.5
12 0.0838322 1.027861 1.578547 -0.3686711 350.0436 316.6993 1.576344 1.002545 1.577609 -0.3923028 350.0436 316.6993 1.576344 1.053178 1.579486 -0.3450394 350.0436 316.6993 1.576344 347.9907 309.3212 -8.728778E-07 348.1984 305.9398 -4.361054E-07 0.5 0.5
13 0.0905598 1.028363 1.58004 -0.3702758 349.1831 316.3901 1.462283 1.003172 1.579171 -0.3940442 349.1831 316.3901 1.462283 1.053554 1.580908 -0.3465074 349.1831 316.3901 1.462283 347.4282 311.3094 4.373732E-07 347.6176 307.688 0 0.5 0.5
14 0.09761535 1.029398 1.581309 -0.3721217 348.3107 316.0597 1.405568 1.00434 1.580477 -0.396031 348.3107 316.0597 1.405568 1.054457 1.582141 -0.3482123 348.3107 316.0597 1.405568 346.5661 310.9872 0 346.7578 307.3534 -4.385475E-07 0.5 0.5
15 0.1046525 1.030747 1.582529 -0.3739108 347.5566 315.6624 1.404902 1.005847 1.581699 -0.3979856 347.5566 315.6624 1.404902 1.055647 1.583358 -0.349836 347.5566 315.6624 1.404902 345.6931 312.2196 -4.405499E-07 345.88 308.334 4.401862E-07 0.5 0.5
16 0.1115946 1.032461 1.583622 -0.3757508 346.8152 315.2163 1.412062 1.007741 1.58279 -0.4000104 346.8152 315.2163 1.412062 1.05718 1.584453 -0.3514912 346.8152 315.2163 1.412062 344.9912 311.7997 -1.325892E-06 345.1846 307.9021 4.415669E-07 0.5 0.5
17 0.1184126 1.034435 1.583973 -0.3778792 346.1184 314.8021 1.339989 1.009891 1.583186 -0.4023178 346.1184 314.8021 1.339989 1.058979 1.584759 -0.3534406 346.1184 314.8021 1.339989 344.2648 311.4062 8.87014E-07 344.4595 307.4952 8.861709E-07 0.5 0.5
18 0.1237864 1.035461 1.583635 -0.3795777 345.3427 314.5883 0.937961 1.011041 1.583086 -0.4041469 345.3427 314.5883 0.937961 1.059881 1.584184 -0.3550085 345.3427 314.5883 0.937961 341.7949 312.3517 -4.49381E-07 341.998 307.9384 4.488604E-07 0.5 0.5
19 0.130756 1.037682 1.582716 -0.381024 344.5661 314.1935 0.6220728 1.013461 1.582353 -0.405793 344.5661 314.1935 0.6220728 1.061903 1.583078 -0.3562551 344.5661 314.1935 0.6220728 340.9422 312.1194 0 341.1183 307.6824 9.023292E-07 0.5 0.5
20 0.1380275 1.040002 1.582095 -0.3824438 343.8419 313.9113 0.4145899 1.015925 1.581854 -0.4073536 343.8419 313.9113 0.4145899 1.06408 1.582336 -0.3575339 343.8419 313.9113 0.4145899 340.0931 313.4071 -1.362047E-06 340.2029 309.1748 -9.074029E-07 0.5 0.5
21 0.1454017 1.043202 1.582476 -0.3835508 343.2113 313.4619 0.6469504 1.01929 1.582102 -0.408618 343.2113 313.4619 0.6469504 1.067114 1.582851 -0.3584836 343.2113 313.4619 0.6469504 339.3786 313.1304 -9.122211E-07 339.4785 308.8782 0 0.5 0.5
22 0.1560549 1.04659 1.583779 -0.3846414 342.5973 312.9643 1.066569 1.022841 1.583163 -0.4098581 342.5973 312.9643 1.066569 1.070339 1.584394 -0.3594247 342.5973 312.9643 1.066569 344.4201 314.5825 4.431703E-07 344.5016 310.2039 8.859903E-07 0.5 0.5
