#Frame, Timer, HeadX, HeadY, HeadZ, HeadRX, HeadRY, HeadRZ, LHandX, LHandY, LHandZ, LHandRX, LHandRY, LHandRZ, RHandX, RHandY, RHandZ, RHandRX, RHandRY, RHandRZ, LEyeRX, LEyeRY, LEyeRZ, REyeRX, REyeRY, REyeRZ, LEyeConf, REyeConf
1 0.01449605 0.4956038 1.581438 -0.2458554 359.8842 328.9796 8.651977 0.4677278 1.576489 -0.2626068 359.8842 328.9796 8.651977 0.5234797 1.586387 -0.229104 359.8842 328.9796 8.651977 8.452168 326.9176 -4.315742E-07 8.965976 323.1609 -6.482511E-07 0.5 0.5
2 0.0359607 0.4992211 1.582361 -0.2452484 359.4757 328.4632 8.975659 0.4715023 1.577229 -0.262204 359.4757 328.4632 8.975659 0.52694 1.587494 -0.2282929 359.4757 328.4632 8.975659 9.505763 327.1581 0 10.02367 323.4161 2.167519E-07 0.5 0.5
3 0.05531765 0.5026439 1.583013 -0.2431039 359.154 327.6983 9.208603 0.4751552 1.577749 -0.2603907 359.154 327.6983 9.208603 0.5301325 1.588277 -0.2258171 359.154 327.6983 9.208603 9.298202 326.9078 2.162852E-07 9.866245 322.9556 -6.499425E-07 0.5 0.5
4 0.073909 0.5054334 1.583451 -0.2401376 358.9019 326.88 9.393072 0.478195 1.578084 -0.2577847 358.9019 326.88 9.393073 0.5326719 1.588819 -0.2224904 358.9019 326.88 9.393073 9.597255 326.4871 -2.164732E-07 10.18344 322.5395 -4.337193E-07 0.5 0.5
5 0.09439125 0.5101051 1.58425 -0.2342284 358.3935 325.6813 9.609944 0.4832301 1.57876 -0.2523877 358.3935 325.6813 9.609944 0.5369802 1.589739 -0.216069 358.3935 325.6813 9.609944 9.303117 325.7832 4.325766E-07 9.900088 321.8408 0 0.5 0.5
6 0.1090099 0.5128866 1.584114 -0.2304958 358.3248 325.2844 9.69224 0.48614 1.578578 -0.2488299 358.3248 325.2844 9.69224 0.5396332 1.58965 -0.2121617 358.3248 325.2844 9.69224 8.91413 324.4742 -4.321059E-07 9.49343 320.7589 -4.328144E-07 0.5 0.5
7 0.1382174 0.5179078 1.58444 -0.222702 358.2324 324.4935 9.713405 0.4914131 1.578893 -0.2413947 358.2324 324.4935 9.713405 0.5444025 1.589988 -0.2040092 358.2324 324.4935 9.713405 9.531871 324.2272 -2.164315E-07 10.043 320.9549 0 0.5 0.5
8 0.154639 0.5263832 1.584499 -0.2089616 358.1317 323.5852 9.712109 0.5001822 1.578952 -0.2280642 358.1317 323.5852 9.712109 0.5525841 1.590045 -0.1898589 358.1317 323.5852 9.712109 9.542928 323.9471 4.328771E-07 10.12726 320.2422 6.504646E-07 0.5 0.5
9 0.1737345 0.5357689 1.585022 -0.1931483 358.0426 322.8591 9.799888 0.5098127 1.579426 -0.2125681 358.0426 322.8591 9.799888 0.5617251 1.590618 -0.1737286 358.0426 322.8591 9.799888 9.146111 323.4886 -4.32384E-07 9.773771 319.5645 0 0.5 0.5
10 0.1887572 0.5401378 1.586098 -0.1847111 358.1119 322.2321 9.843504 0.5144026 1.580477 -0.2044159 358.1119 322.2321 9.843505 0.5658729 1.591719 -0.1650064 358.1119 322.2321 9.843505 9.145928 322.5713 0 9.747971 318.8651 -2.165702E-07 0.5 0.5
11 0.2075828 0.5435531 1.586608 -0.177733 357.8705 321.7145 9.651629 0.5179702 1.581096 -0.1976655 357.8705 321.7145 9.651629 0.569136 1.592119 -0.1578005 357.8705 321.7145 9.651629 9.004835 321.9448 -2.161069E-07 9.598039 318.2386 2.164737E-07 0.5 0.5
12 0.2371853 0.553241 1.587612 -0.1587295 357.4675 320.6512 9.574002 0.5280033 1.582146 -0.1791096 357.4675 320.6512 9.574002 0.5784788 1.593078 -0.1383494 357.4675 320.6512 9.574002 9.505069 321.4053 -4.328291E-07 10.12321 317.4779 0 0.5 0.5
13 0.2449012 0.5654473 1.588341 -0.1347346 357.1362 319.3447 9.64124 0.540664 1.582838 -0.1556552 357.1362 319.3447 9.64124 0.5902307 1.593843 -0.113814 357.1362 319.3447 9.64124 9.187372 320.3547 -2.162172E-07 9.803065 316.4306 0 0.5 0.5
14 0.2693185 0.5654824 1.588518 -0.1341227 357.5272 319.1082 10.05503 0.5408343 1.58278 -0.1551396 357.5272 319.1082 10.05503 0.5901306 1.594256 -0.1131058 357.5272 319.1082 10.05503 9.182795 318.0175 6.486431E-07 9.785071 314.3183 2.165944E-07 0.5 0.5
15 0.2865364 0.5775092 1.588166 -0.1082459 357.3064 317.4447 10.49507 0.5534919 1.58218 -0.1299141 357.3064 317.4447 10.49507 0.6015264 1.594151 -0.0865777 357.3064 317.4447 10.49507 10.21239 318.1495 0 10.81126 314.4376 -4.346008E-07 0.5 0.5
16 0.3066464 0.5853886 1.58443 -0.08993772 357.1754 316.1262 10.90814 0.5618906 1.578213 -0.1121042 357.1754 316.1262 10.90814 0.6088866 1.590648 -0.06777126 357.1754 316.1262 10.90814 9.981035 316.81 4.33447E-07 10.65392 312.8689 4.343746E-07 0.5 0.5
17 0.3269938 0.5875698 1.582457 -0.0825033 357.1671 315.4747 10.83971 0.5643207 1.576278 -0.1049414 357.1671 315.4747 10.83971 0.6108189 1.588636 -0.06006522 357.1671 315.4747 10.83971 9.918203 315.5346 4.333636E-07 10.61127 311.598 -4.34314E-07 0.5 0.5
18 0.3459037 0.593479 1.580086 -0.06214012 356.9316 313.9206 10.96495 0.5708354 1.573838 -0.08517048 356.9316 313.9206 10.96495 0.6161225 1.586334 -0.03910977 356.9316 313.9206 10.96495 11.99233 314.2374 0 12.65102 310.3307 -8.750172E-07 0.5 0.5
19 0.3607009 0.59475 1.578964 -0.05570794 357.1418 313.3156 11.19391 0.5723803 1.572586 -0.07896906 357.1418 313.3156 11.19391 0.6171198 1.585343 -0.03244682 357.1418 313.3156 11.19391 12.04023 312.064 4.36489E-07 12.70886 308.1594 4.37608E-07 0.5 0.5
20 0.3915538 0.5965272 1.578646 -0.03849975 357.8967 311.7676 10.89473 0.5748394 1.572432 -0.06244132 357.8967 311.7676 10.89473 0.618215 1.584859 -0.01455817 357.8967 311.7676 10.89473 12.23577 311.0199 4.368094E-07 12.85759 307.3318 4.378658E-07 0.5 0.5
21 0.4094248 0.5963997 1.581059 -0.02201534 358.4185 310.0988 10.30179 0.5754283 1.575179 -0.04666866 358.4185 310.0988 10.30179 0.617371 1.58694 0.00263799 358.4185 310.0988 10.30179 12.49061 309.3575 0 13.09541 305.6579 0 0.5 0.5
