#Frame, Timer, HeadX, HeadY, HeadZ, HeadRX, HeadRY, HeadRZ, LHandX, LHandY, LHandZ, LHandRX, LHandRY, LHandRZ, RHandX, RHandY, RHandZ, RHandRX, RHandRY, RHandRZ, LEyeRX, LEyeRY, LEyeRZ, REyeRX, REyeRY, REyeRZ, LEyeConf, REyeConf
1 0.015024 0.3859223 1.559445 0.5618379 10.54145 219.1071 4.631905 0.4119175 1.556809 0.5413391 10.54145 219.1071 4.631905 0.3599271 1.562082 0.5823367 10.54145 219.1071 4.631905 28.99794 218.6136 -1.952292E-06 29.16515 214.5206 0 0.5 0.5
2 0.0224919 0.382405 1.558599 0.5665025 10.56225 215.5517 4.298367 0.4096136 1.556152 0.5476185 10.56225 215.5517 4.298367 0.3551963 1.561045 0.5853865 10.56225 215.5517 4.298367 28.95343 217.1324 -1.951452E-06 29.11027 213.0408 0 0.5 0.5
3 0.0365621 0.3817917 1.560919 0.568295 10.67138 213.09 4.516821 0.4097935 1.558349 0.5506259 10.67138 213.09 4.516821 0.35379 1.563489 0.5859641 10.67138 213.09 4.516821 28.96091 214.2569 -1.951594E-06 29.1561 210.1661 -1.466468E-06 0.5 0.5
4 0.0518411 0.3817415 1.561967 0.5703756 10.89906 211.0867 4.110172 0.4103413 1.55963 0.5536577 10.89906 211.0867 4.110172 0.3531417 1.564305 0.5870935 10.89906 211.0867 4.110172 29.01099 214.1024 -9.762693E-07 29.26822 209.5156 1.468074E-06 0.5 0.5
5 0.06631735 0.3795138 1.563988 0.5766206 11.08505 206.1502 3.470261 0.4094402 1.562015 0.5623579 11.08505 206.1502 3.470261 0.3495874 1.56596 0.5908834 11.08505 206.1502 3.470261 29.12829 212.2841 9.77381E-07 29.36317 207.6982 9.796271E-07 0.5 0.5
6 0.0843617 0.3771784 1.565504 0.583276 10.88329 201.6167 2.851155 0.4081293 1.563882 0.5713467 10.88329 201.6167 2.851155 0.3462274 1.567126 0.5952052 10.88329 201.6167 2.851155 29.98909 203.4953 -4.928722E-07 30.04161 199.6264 0 0.5 0.5
7 0.089664 0.3753677 1.566671 0.5882537 10.74944 198.7438 2.650357 0.4068748 1.565162 0.5778648 10.74944 198.7438 2.650357 0.3438606 1.56818 0.5986426 10.74944 198.7438 2.650357 29.85486 198.8 -9.844165E-07 29.87508 194.9365 0 0.5 0.5
8 0.1038452 0.3740427 1.567084 0.5909196 10.58315 197.7752 2.80037 0.4057205 1.565489 0.581077 10.58315 197.7752 2.80037 0.3423649 1.568679 0.6007621 10.58315 197.7752 2.80037 33.7942 184.1502 -1.284193E-07 33.43039 180.4713 0 0.5 0.5
9 0.1187521 0.3722577 1.566503 0.5935644 10.32309 197.3166 2.962431 0.4040116 1.564814 0.5839862 10.32309 197.3166 2.962431 0.3405038 1.568192 0.6031426 10.32309 197.3166 2.962431 33.42322 181.9905 0 33.07865 178.7722 -3.184117E-08 0.5 0.5
10 0.1377434 0.3672392 1.566724 0.6008454 10.18067 194.762 3.328507 0.3993857 1.564826 0.5927272 10.18067 194.762 3.328507 0.3350927 1.568621 0.6089636 10.18067 194.762 3.328507 30.83717 181.7771 -6.214667E-08 30.54845 178.6382 -6.196106E-08 0.5 0.5
11 0.1513788 0.3635826 1.566317 0.6055595 10.16085 193.6931 3.582862 0.3958722 1.564274 0.598069 10.16085 193.6931 3.582862 0.3312929 1.56836 0.6130499 10.16085 193.6931 3.582862 26.37183 183.5104 -5.955916E-08 26.21945 179.9395 -9.293896E-10 0.5 0.5
12 0.1646973 0.3600953 1.565304 0.6105607 10.39614 192.9205 3.564384 0.3924851 1.563273 0.6035125 10.39614 192.9205 3.564384 0.3277054 1.567335 0.6176088 10.39614 192.9205 3.564384 25.21288 185.5213 -1.179596E-07 25.14499 181.7237 -2.947347E-08 0.5 0.5
13 0.1779029 0.3564147 1.564199 0.6153589 10.79114 192.2915 3.666105 0.3888816 1.562113 0.608692 10.79114 192.2915 3.666105 0.3239477 1.566285 0.6220259 10.79114 192.2915 3.666105 25.49032 184.6606 1.182305E-07 25.42442 180.8542 -2.954144E-08 0.5 0.5
14 0.1827987 0.3526183 1.563335 0.619929 11.03326 191.4091 3.901629 0.3851822 1.561117 0.6137988 11.03326 191.4091 3.901629 0.3200545 1.565553 0.6260592 11.03326 191.4091 3.901629 25.65574 184.994 -1.18394E-07 25.63808 181.422 -2.959411E-08 0.5 0.5
15 0.1952569 0.3509345 1.563043 0.6215737 10.94174 191.138 4.087823 0.3835228 1.560719 0.6156157 10.94174 191.138 4.087823 0.3183461 1.565367 0.6275318 10.94174 191.138 4.087823 25.76527 184.2036 -2.37006E-07 25.75891 180.6281 -1.481208E-08 0.5 0.5
