#Frame, Timer, HeadX, HeadY, HeadZ, HeadRX, HeadRY, HeadRZ, LHandX, LHandY, LHandZ, LHandRX, LHandRY, LHandRZ, RHandX, RHandY, RHandZ, RHandRX, RHandRY, RHandRZ, LEyeRX, LEyeRY, LEyeRZ, REyeRX, REyeRY, REyeRZ, LEyeConf, REyeConf
1 0.0090339 -0.9814221 1.642584 0.1832888 327.0399 35.47091 9.882364 -1.006033 1.637847 0.2045965 327.0399 35.47091 9.882364 -0.9568109 1.647321 0.1619811 327.0399 35.47091 9.882364 321.7107 38.21536 -2.175519E-06 322.5225 32.40733 -1.075834E-06 0.5 0.5
2 0.01746305 -0.9814305 1.642357 0.1836051 327.2995 35.12097 10.12023 -1.006122 1.637492 0.2047903 327.2995 35.12097 10.12023 -0.9567385 1.647221 0.1624199 327.2995 35.12097 10.12023 322.2643 37.49928 -1.079574E-06 323.105 31.742 -2.135135E-06 0.5 0.5
3 0.0232252 -0.9813923 1.642114 0.1837775 327.5256 34.77393 10.39835 -1.006152 1.637105 0.2048501 327.5256 34.77393 10.39835 -0.956633 1.647123 0.1627049 327.5256 34.77393 10.39835 322.4821 37.13031 -3.229247E-06 323.3419 31.39479 -1.064274E-06 0.5 0.5
4 0.03051205 -0.9813349 1.642014 0.1838799 327.6008 34.63915 10.47262 -1.006128 1.636965 0.2049029 327.6008 34.63915 10.47262 -0.9565414 1.647062 0.162857 327.6008 34.63915 10.47262 322.2581 38.40354 -2.159329E-06 323.152 32.0862 1.066911E-06 0.5 0.5
5 0.03658665 -0.9811726 1.641571 0.1843001 327.9538 34.07942 10.69384 -1.006131 1.636397 0.2050958 327.9538 34.07942 10.69384 -0.9562139 1.646745 0.1635044 327.9538 34.07942 10.69384 322.3116 38.28751 -1.078887E-06 323.2077 31.9753 -1.066135E-06 0.5 0.5
6 0.04275275 -0.9810436 1.641549 0.1843444 327.9857 33.93056 10.55436 -1.006093 1.63644 0.2050465 327.9857 33.93056 10.55436 -0.9559938 1.646658 0.1636424 327.9857 33.93056 10.55436 321.9865 37.58078 -1.083653E-06 322.9071 31.24058 0 0.5 0.5
7 0.04938595 -0.9808555 1.641639 0.1844214 327.9808 33.78168 10.40252 -1.005997 1.636603 0.2050297 327.9808 33.78168 10.40252 -0.9557138 1.646675 0.1638131 327.9808 33.78168 10.40252 322.0317 37.44932 -1.082986E-06 322.9417 31.1101 0 0.5 0.5
8 0.0580405 -0.980666 1.64181 0.1843602 327.9271 33.62597 10.26351 -1.005896 1.636843 0.2048772 327.9271 33.62597 10.26351 -0.9554361 1.646776 0.1638432 327.9271 33.62597 10.26351 321.2726 37.76327 1.094397E-06 322.0936 31.64377 -1.082075E-06 0.5 0.5
9 0.063431 -0.9807348 1.641545 0.1846469 327.8334 33.57185 10.14995 -1.006008 1.636637 0.2051248 327.8334 33.57185 10.14995 -0.9554615 1.646452 0.164169 327.8334 33.57185 10.14995 321.2412 37.62681 -1.094879E-06 322.0526 31.50217 1.082679E-06 0.5 0.5
10 0.07152135 -0.9803767 1.641578 0.1846094 327.8527 33.2213 9.935816 -1.005829 1.636773 0.2048887 327.8527 33.2213 9.935816 -0.9549243 1.646384 0.1643301 327.8527 33.2213 9.935816 321.1741 37.58821 1.095909E-06 321.9763 31.45551 -1.083805E-06 0.5 0.5
11 0.07685135 -0.9800804 1.641599 0.1844183 327.881 33.14634 9.694351 -1.00562 1.636908 0.2046144 327.881 33.14634 9.694351 -0.9545407 1.646291 0.1642221 327.881 33.14634 9.694351 320.4777 38.01775 -1.106818E-06 321.2177 31.82217 -1.095239E-06 0.5 0.5
12 0.08367626 -0.9798083 1.641489 0.1842838 327.9217 33.07355 9.467206 -1.005431 1.636904 0.2043993 327.9217 33.07355 9.467207 -0.9541858 1.646074 0.1641683 327.9217 33.07355 9.467207 320.5461 37.94577 0 321.2675 31.75177 -2.18895E-06 0.5 0.5
13 0.09128325 -0.9795246 1.641441 0.18415 327.964 33.09623 9.305201 -1.00518 1.636932 0.2042403 327.964 33.09623 9.305201 -0.9538689 1.64595 0.1640597 327.964 33.09623 9.305201 320.524 39.08792 0 321.1988 32.59348 0 0.5 0.5
14 0.09884696 -0.9787716 1.641464 0.1835878 328.0363 32.91663 8.980035 -1.004571 1.637108 0.203527 328.0363 32.91663 8.980035 -0.9529721 1.64582 0.1636485 328.0363 32.91663 8.980035 320.5562 39.12712 0 321.2203 32.63334 0 0.5 0.5
15 0.1050805 -0.9784895 1.641587 0.1834156 327.9997 32.89411 8.855099 -1.004325 1.637293 0.2033215 327.9997 32.89411 8.855099 -0.9526539 1.645881 0.1635097 327.9997 32.89411 8.855099 320.6316 38.98908 -1.104374E-06 321.266 32.49595 -2.188998E-06 0.5 0.5
