\#Frame, Timer, HeadX, HeadY, HeadZ, HeadRX, HeadRY, HeadRZ, LHandX, LHandY, LHandZ, LHandRX, LHandRY, LHandRZ, RHandX, RHandY, RHandZ, RHandRX, RHandRY, RHandRZ, LEyeRX, LEyeRY, LEyeRZ, REyeRX, REyeRY, REyeRZ, LEyeConf, REyeConf
19 1.402325 0.557466 1.943211 0.3084179 31.88789 215.8188 2.458483 0.5857057 1.941961 0.2889951 31.88789 215.8188 2.458483 0.5292262 1.94446 0.3278408 31.88789 215.8188 2.458483 0 0 0 0 0 0 0 0
20 1.460647 0.5701035 1.948497 0.2763678 30.0099 220.715 2.009139 0.5964757 1.947456 0.2544655 30.0099 220.715 2.009139 0.5437312 1.949538 0.2982701 30.0099 220.715 2.009139 0 0 0 0 0 0 0 0
21 1.542785 0.593079 1.955218 0.247518 29.8598 221.0428 359.5733 0.6188623 1.95544 0.2249025 29.8598 221.0428 359.5733 0.5672957 1.954997 0.2701335 29.8598 221.0428 359.5733 0 0 0 0 0 0 0 0
22 1.600487 0.6181195 1.968752 0.2214555 25.37994 221.5775 358.4218 0.6434973 1.969605 0.1984005 25.37994 221.5775 358.4218 0.5927417 1.967898 0.2445104 25.37994 221.5775 358.4218 0 0 0 0 0 0 0 0
23 1.679084 0.6250446 1.973486 0.2136218 23.39886 224.5935 356.7511 0.6488866 1.97527 0.1890318 23.39886 224.5935 356.7511 0.6012027 1.971702 0.2382118 23.39886 224.5935 356.7511 0 0 0 0 0 0 0 0
24 1.741893 0.6321387 1.974768 0.2108723 23.516 230.2512 356.9435 0.6534768 1.976445 0.1840737 23.516 230.2512 356.9435 0.6108006 1.973091 0.2376709 23.516 230.2512 356.9435 0 0 0 0 0 0 0 0
25 1.805491 0.6370107 1.98117 0.21934 21.71599 234.992 359.1284 0.6565263 1.981655 0.1911408 21.71599 234.992 359.1284 0.6174951 1.980685 0.2475393 21.71599 234.992 359.1284 0 0 0 0 0 0 0 0
26 1.873668 0.6354425 1.989312 0.2298217 19.48394 235.3114 359.7744 0.6549243 1.989439 0.2015953 19.48394 235.3114 359.7744 0.6159607 1.989184 0.2580482 19.48394 235.3114 359.7744 0 0 0 0 0 0 0 0
27 1.943101 0.6337637 1.998151 0.2426288 16.47818 237.6571 358.8763 0.6519474 1.998796 0.2135561 16.47818 237.6571 358.8763 0.61558 1.997506 0.2717016 16.47818 237.6571 358.8763 0 0 0 0 0 0 0 0
28 2.013212 0.6342753 1.998805 0.2526872 14.93347 243.2316 358.7815 0.6495509 1.999509 0.2219878 14.93347 243.2316 358.7815 0.6189997 1.9981 0.2833865 14.93347 243.2316 358.7815 0 0 0 0 0 0 0 0
29 2.080969 0.640747 2.002283 0.2592422 14.19124 245.9726 0.02135265 0.6547147 2.002271 0.2279182 14.19124 245.9726 0.02135265 0.6267792 2.002296 0.2905662 14.19124 245.9726 0.02135265 0 0 0 0 0 0 0 0
30 2.145854 0.6501335 2.007103 0.263703 10.32211 246.3201 0.6817855 0.6639741 2.006702 0.2323252 10.32211 246.3201 0.6817855 0.6362929 2.007505 0.2950808 10.32211 246.3201 0.6817855 0 0 0 0 0 0 0 0
31 2.214919 0.6595193 2.025971 0.2632995 0.7491416 242.1668 1.276404 0.6755374 2.025207 0.2329824 0.7491415 242.1668 1.276404 0.6435011 2.026735 0.2936166 0.7491415 242.1668 1.276404 0 0 0 0 0 0 0 0
32 2.283285 0.6701517 2.037774 0.2538681 350.8569 232.6081 2.669417 0.6907548 2.036196 0.2264945 350.8569 232.6081 2.669417 0.6495486 2.039351 0.2812418 350.8569 232.6081 2.669417 0 0 0 0 0 0 0 0
33 2.37158 0.6737285 2.039213 0.2453602 349.933 222.7798 2.658997 0.6986855 2.037647 0.2218871 349.933 222.7798 2.658997 0.6487715 2.04078 0.2688332 349.933 222.7798 2.658997 0 0 0 0 0 0 0 0
34 2.433476 0.6733657 2.046307 0.2401457 343.7474 214.5574 1.941042 0.7014107 2.045192 0.2204347 343.7474 214.5574 1.941042 0.6453206 2.047422 0.2598567 343.7474 214.5574 1.941042 0 0 0 0 0 0 0 0
35 2.510138 0.6697227 2.048844 0.2402335 341.8765 213.6934 0.3906223 0.6982175 2.048622 0.2211472 341.8765 213.6934 0.3906223 0.641228 2.049066 0.2593198 341.8765 213.6934 0.3906223 0 0 0 0 0 0 0 0
36 2.57661 0.6661955 2.047702 0.2417398 342.505 213.8463 0.4629845 0.6946331 2.047438 0.2225689 342.505 213.8463 0.4629845 0.6377578 2.047967 0.2609107 342.505 213.8463 0.4629845 0 0 0 0 0 0 0 0
37 2.648873 0.6614721 2.047447 0.243692 341.5343 214.2708 0.2875204 0.6897836 2.047284 0.2243343 341.5343 214.2708 0.2875204 0.6331605 2.047611 0.2630496 341.5343 214.2708 0.2875204 0 0 0 0 0 0 0 0
38 2.713522 0.6565802 2.046975 0.244657 341.5834 214.7971 0.498421 0.6846893 2.046692 0.2250079 341.5834 214.7971 0.498421 0.6284711 2.047258 0.264306 341.5834 214.7971 0.498421 0 0 0 0 0 0 0 0
39 2.802804 0.6510475 2.046349 0.2451017 342.2881 215.5004 0.2518917 0.6789423 2.046205 0.2251479 342.2881 215.5004 0.2518913 0.6231527 2.046492 0.2650554 342.2881 215.5004 0.2518913 0 0 0 0 0 0 0 0
40 2.84987 0.6440949 2.046038 0.2451699 342.8878 217.2298 0.2576654 0.671375 2.045891 0.2243838 342.8878 217.2298 0.2576654 0.6168147 2.046186 0.265956 342.8878 217.2298 0.2576654 0 0 0 0 0 0 0 0
41 2.950703 0.6378275 2.045564 0.2446932 344.1922 221.2871 359.7497 0.6636255 2.045708 0.2220937 344.1922 221.2871 359.7497 0.6120296 2.045419 0.2672926 344.1922 221.2871 359.7497 0 0 0 0 0 0 0 0
42 3.005909 0.622861 2.028558 0.2454256 355.9881 232.7838 358.2668 0.643653 2.029593 0.2181691 355.9881 232.7838 358.2668 0.602069 2.027524 0.272682 355.9881 232.7838 358.2668 0 0 0 0 0 0 0 0
43 3.097641 0.6199019 2.016332 0.2404728 4.85119 236.2021 357.6939 0.6388677 2.017707 0.2119299 4.85119 236.2021 357.6939 0.6009361 2.014956 0.2690157 4.85119 236.2021 357.6939 0 0 0 0 0 0 0 0
44 3.147747 0.6151161 1.995309 0.2266006 16.88839 237.328 356.5969 0.6331002 1.997257 0.1974618 16.88839 237.328 356.5969 0.597132 1.993361 0.2557394 16.88839 237.328 356.5969 0 0 0 0 0 0 0 0
45 3.234925 0.6156258 1.986534 0.2170097 21.52322 236.3144 356.8251 0.6340391 1.988301 0.1881286 21.52322 236.3144 356.8251 0.5972125 1.984767 0.2458908 21.52322 236.3144 356.8251 0 0 0 0 0 0 0 0
46 3.284298 0.6156935 1.982942 0.2074234 23.32334 237.0701 356.8734 0.6336884 1.98466 0.1782768 23.32334 237.0701 356.8734 0.5976986 1.981225 0.2365699 23.32334 237.0701 356.8734 0 0 0 0 0 0 0 0
47 3.389329 0.6169989 1.979821 0.1971215 23.83376 237.1098 357.4357 0.6350839 1.981224 0.1680139 23.83376 237.1098 357.4357 0.5989138 1.978417 0.2262291 23.83376 237.1098 357.4357 0 0 0 0 0 0 0 0
48 3.43646 0.620581 1.977265 0.1822179 25.49023 234.6375 356.838 0.6397362 1.978973 0.1538198 25.49023 234.6375 356.838 0.6014258 1.975558 0.210616 25.49023 234.6375 356.838 0 0 0 0 0 0 0 0
49 3.541698 0.623662 1.973709 0.1812987 26.21526 234.2406 357.764 0.6432097 1.974909 0.1531431 26.21526 234.2406 357.764 0.6041143 1.972508 0.2094542 26.21526 234.2406 357.764 0 0 0 0 0 0 0 0
50 3.589769 0.627749 1.971862 0.1735194 27.00693 228.5041 357.1096 0.6498559 1.973403 0.1473431 27.00693 228.5041 357.1096 0.605642 1.970321 0.1996957 27.00693 228.5041 357.1096 0 0 0 0 0 0 0 0
51 3.688803 0.6301107 1.969858 0.1694096 27.90737 224.2571 356.3056 0.6539019 1.971811 0.1447833 27.90737 224.2571 356.3056 0.6063195 1.967905 0.1940359 27.90737 224.2571 356.3056 0 0 0 0 0 0 0 0
52 3.737788 0.6307176 1.967022 0.1664518 29.50444 221.3267 355.2892 0.6554701 1.969473 0.1428384 29.50444 221.3267 355.2892 0.605965 1.964571 0.1900652 29.50444 221.3267 355.2892 0 0 0 0 0 0 0 0
53 3.83382 0.6252834 1.967313 0.1735631 29.50918 227.6957 357.8784 0.6478893 1.968418 0.1477941 29.50918 227.6957 357.8784 0.6026775 1.966208 0.1993321 29.50918 227.6957 357.8784 0 0 0 0 0 0 0 0
54 3.888791 0.6202448 1.969295 0.1807836 28.5273 229.5717 358.6253 0.6421808 1.970018 0.1544288 28.5273 229.5717 358.6253 0.5983088 1.968572 0.2071385 28.5273 229.5717 358.6253 0 0 0 0 0 0 0 0
55 3.990357 0.615657 1.969394 0.1889862 28.51938 230.8049 359.5279 0.6372262 1.969642 0.1623217 28.51938 230.8049 359.5279 0.5940878 1.969145 0.2156508 28.51938 230.8049 359.5279 0 0 0 0 0 0 0 0
56 4.036724 0.6131308 1.971474 0.1927167 27.35844 229.9966 358.216 0.6347916 1.972422 0.1661422 27.35844 229.9966 358.216 0.5914701 1.970525 0.2192913 27.35844 229.9966 358.216 0 0 0 0 0 0 0 0
57 4.124361 0.6126339 1.973534 0.191797 25.92502 224.3825 356.6694 0.6364948 1.975327 0.167226 25.92502 224.3825 356.6694 0.588773 1.971742 0.216368 25.92502 224.3825 356.6694 0 0 0 0 0 0 0 0
58 4.17544 0.6145718 1.978143 0.1900376 23.43384 215.1728 354.4131 0.6417087 1.981206 0.1692894 23.43384 215.1728 354.4131 0.5874348 1.975079 0.2107859 23.43384 215.1728 354.4131 0 0 0 0 0 0 0 0
59 4.255745 0.6116849 1.979239 0.1928509 21.28702 215.2954 352.924 0.6385782 1.983175 0.1719334 21.28702 215.2954 352.924 0.5847916 1.975302 0.2137685 21.28702 215.2954 352.924 0 0 0 0 0 0 0 0
60 4.303113 0.6108345 1.976803 0.1965805 21.73157 213.6765 353.657 0.6384232 1.980323 0.1765115 21.73157 213.6765 353.657 0.5832458 1.973283 0.2166494 21.73157 213.6765 353.657 0 0 0 0 0 0 0 0
