#Frame, Timer, HeadX, HeadY, HeadZ, HeadRX, HeadRY, HeadRZ, LHandX, LHandY, LHandZ, LHandRX, LHandRY, LHandRZ, RHandX, RHandY, RHandZ, RHandRX, RHandRY, RHandRZ, LEyeRX, LEyeRY, LEyeRZ, REyeRX, REyeRY, REyeRZ, LEyeConf, REyeConf
1 0.00760255 -0.8922963 1.521802 0.2175091 6.558017 52.63351 0.994571 -0.9131367 1.521212 0.2446883 6.558017 52.63351 0.994571 -0.871456 1.522393 0.1903298 6.558017 52.63351 0.994571 12.99622 53.0736 0 13.07139 47.61824 8.764841E-07 0.5 0.5
2 0.0170758 -0.8905082 1.523793 0.2181915 5.706112 53.81596 0.6362404 -0.9107608 1.523415 0.2458153 5.706112 53.81596 0.6362404 -0.8702556 1.524172 0.1905677 5.706112 53.81596 0.6362404 12.35179 54.00085 0 12.40641 48.55925 4.370937E-07 0.5 0.5
3 0.02259265 -0.8888363 1.52588 0.2190445 4.735763 55.3322 0.2228413 -0.9083298 1.525747 0.2472112 4.735763 55.3322 0.2228413 -0.8693427 1.526013 0.1908777 4.735763 55.3322 0.2228413 12.85561 55.06929 -4.378623E-07 12.88061 49.6212 -4.37906E-07 0.5 0.5
4 0.02948005 -0.8871414 1.527585 0.2196857 3.719609 56.82011 359.9559 -0.9058865 1.527612 0.2483562 3.719609 56.82011 359.9559 -0.8683963 1.527559 0.1910151 3.719609 56.82011 359.9559 11.91639 56.47841 0 11.90686 51.05025 -4.362736E-07 0.5 0.5
5 0.03660605 -0.885536 1.528458 0.2194245 2.715893 58.22226 0.1895411 -0.9035798 1.528345 0.2485413 2.715893 58.22226 0.1895411 -0.8674922 1.528571 0.1903077 2.715893 58.22226 0.1895411 10.86333 58.01134 8.693529E-07 10.83426 52.60349 4.346342E-07 0.5 0.5
6 0.0456204 -0.8843415 1.529209 0.2189156 1.838806 59.54922 0.508086 -0.9017094 1.528906 0.2484393 1.838806 59.54922 0.508086 -0.8669736 1.529513 0.189392 1.838806 59.54922 0.508086 9.74166 66.71343 -4.331323E-07 9.866476 61.34629 4.332954E-07 0.5 0.5
7 0.05030165 -0.8837267 1.530281 0.2184891 0.9748783 60.89953 0.8211331 -0.9003918 1.52979 0.2484126 0.9748783 60.89953 0.8211331 -0.8670616 1.530772 0.1885656 0.9748783 60.89953 0.8211331 8.905593 67.94204 0 9.034942 62.58786 0 0.5 0.5
8 0.0573412 -0.88305 1.531421 0.2179062 0.07048384 62.11847 1.179895 -0.8990664 1.530715 0.2481776 0.07048384 62.11847 1.179895 -0.8670337 1.532126 0.1876348 0.07048384 62.11847 1.179895 359.6106 79.52621 2.668104E-08 359.6747 74.85854 2.668086E-08 0.5 0.5
9 0.06406265 -0.8824263 1.532029 0.2167726 359.2915 63.14843 1.758621 -0.8978795 1.530977 0.2473254 359.2915 63.14843 1.758621 -0.866973 1.53308 0.1862198 359.2915 63.14843 1.758621 358.6272 80.72282 5.337618E-08 358.6995 76.0541 5.33746E-08 0.5 0.5
10 0.0711206 -0.8817664 1.533082 0.2156996 358.6696 64.13747 2.342306 -0.8966671 1.531683 0.2465119 358.6696 64.13747 2.342306 -0.8668658 1.534482 0.1848874 358.6696 64.13747 2.342306 357.7366 81.7454 -1.06805E-07 357.834 77.07491 -1.06798E-07 0.5 0.5
11 0.07818174 -0.8818853 1.534288 0.2146542 358.0016 65.447 2.308083 -0.896064 1.532909 0.2458062 358.0016 65.447 2.308083 -0.8677066 1.535666 0.1835022 358.0016 65.447 2.308083 352.0829 85.73538 -4.309949E-07 352.0609 82.3623 0 0.5 0.5
