#Frame, Timer, HeadX, HeadY, HeadZ, HeadRX, HeadRY, HeadRZ, LHandX, LHandY, LHandZ, LHandRX, LHandRY, LHandRZ, RHandX, RHandY, RHandZ, RHandRX, RHandRY, RHandRZ, LEyeRX, LEyeRY, LEyeRZ, REyeRX, REyeRY, REyeRZ, LEyeConf, REyeConf
1 0.00618425 -0.856988 1.541784 0.2506926 7.475111 48.28831 354.7079 -0.8783271 1.54477 0.2752221 7.475111 48.28831 354.7079 -0.8356488 1.538798 0.2261632 7.475111 48.28831 354.7079 29.58741 45.30673 0 29.16686 41.57121 9.77748E-07 0.5 0.5
2 0.0158303 -0.8564765 1.541903 0.2505974 7.443776 48.29074 354.615 -0.8778075 1.544942 0.2751275 7.443776 48.29074 354.615 -0.8351456 1.538865 0.2260672 7.443776 48.29074 354.615 29.56309 45.22792 0 29.1407 41.4936 -9.77499E-07 0.5 0.5
3 0.022678 -0.8544517 1.542446 0.2499447 7.389747 48.25235 354.5482 -0.8757951 1.545523 0.2744592 7.389747 48.25235 354.5482 -0.8331082 1.53937 0.2254302 7.389747 48.25235 354.5482 29.52799 45.22593 -9.812193E-07 29.10068 41.49372 0 0.5 0.5
4 0.0278999 -0.853449 1.542738 0.2497697 7.346132 48.29425 354.4756 -0.8747698 1.545855 0.2742988 7.346132 48.29425 354.4756 -0.8321283 1.53962 0.2252406 7.346132 48.29425 354.4756 29.47802 45.16954 -9.80735E-07 29.04665 41.43985 -9.766065E-07 0.5 0.5
5 0.03563035 -0.8524985 1.543098 0.2497469 7.262454 48.35708 354.4376 -0.8737923 1.546238 0.2742966 7.262454 48.35708 354.4376 -0.8312047 1.539959 0.2251972 7.262454 48.35708 354.4376 29.41547 45.20286 0 28.98127 41.47593 9.759888E-07 0.5 0.5
6 0.0412142 -0.8520795 1.543334 0.2498935 7.195342 48.36415 354.4401 -0.8733732 1.546473 0.2744433 7.195342 48.36415 354.4401 -0.8307857 1.540196 0.2253436 7.195342 48.36415 354.4401 28.89627 45.27356 -1.950377E-06 28.46302 41.55112 -9.71163E-07 0.5 0.5
7 0.0479587 -0.8500642 1.544175 0.2499114 7.051279 48.32681 354.4376 -0.8713796 1.547316 0.2744421 7.051279 48.32681 354.4376 -0.8287488 1.541034 0.2253807 7.051279 48.32681 354.4376 28.82908 45.26415 9.745582E-07 28.39719 41.54387 9.705592E-07 0.5 0.5
8 0.05487055 -0.8490553 1.544575 0.2500935 6.972709 48.30663 354.4272 -0.8703817 1.547722 0.2746139 6.972709 48.30663 354.4272 -0.827729 1.541428 0.225573 6.972709 48.30663 354.4272 28.66901 45.22221 0 28.14381 40.81138 1.936507E-06 0.5 0.5
9 0.06183415 -0.8481223 1.544934 0.2502533 6.927172 48.33622 354.3787 -0.8694336 1.548109 0.2747832 6.927172 48.33622 354.3787 -0.826811 1.541759 0.2257233 6.927172 48.33622 354.3787 28.61391 45.21111 -9.725549E-07 28.08773 40.80274 -9.677474E-07 0.5 0.5
10 0.0701946 -0.8472416 1.545373 0.2504872 6.894734 48.39438 354.3124 -0.8685234 1.548585 0.2750378 6.894734 48.39438 354.3124 -0.8259597 1.542161 0.2259366 6.894734 48.39438 354.3124 28.34379 45.03923 0 27.83815 40.86572 0 0.5 0.5
11 0.07569045 -0.8467722 1.545619 0.2506691 6.83487 48.44236 354.3326 -0.8680378 1.54882 0.2752352 6.83487 48.44236 354.3326 -0.8255066 1.542418 0.226103 6.83487 48.44236 354.3326 28.28838 45.06783 0 27.78108 40.89676 0 0.5 0.5
