#Frame, Timer, HeadX, HeadY, HeadZ, HeadRX, HeadRY, HeadRZ, LHandX, LHandY, LHandZ, LHandRX, LHandRY, LHandRZ, RHandX, RHandY, RHandZ, RHandRX, RHandRY, RHandRZ, LEyeRX, LEyeRY, LEyeRZ, REyeRX, REyeRY, REyeRZ, LEyeConf, REyeConf
1 0.01661555 0.1718398 1.525764 1.363216 334.0446 201.5496 356.9584 0.2031789 1.527359 1.351674 334.0446 201.5496 356.9584 0.1405008 1.524169 1.374757 334.0446 201.5496 356.9584 327.4303 206.9564 -5.06548E-07 327.1303 202.7969 1.016509E-06 0.5 0.5
2 0.03557805 0.1711081 1.526769 1.363916 333.0788 202.2923 356.8082 0.2023157 1.528429 1.352033 333.0788 202.2923 356.8082 0.1399005 1.525109 1.3758 333.0788 202.2923 356.8082 326.4635 208.37 0 326.1092 203.9209 5.142585E-07 0.5 0.5
3 0.0664717 0.1701482 1.526993 1.364417 332.8195 202.713 356.8128 0.2012703 1.528647 1.352311 332.8195 202.713 356.8128 0.1390261 1.525339 1.376523 332.8195 202.713 356.8128 324.7769 209.2976 -1.045123E-06 324.3669 204.2087 5.252284E-07 0.5 0.5
4 0.08881135 0.1676042 1.528042 1.365978 331.782 204.2057 356.1169 0.1984683 1.530037 1.353277 331.782 204.2057 356.1169 0.1367401 1.526047 1.378679 331.782 204.2057 356.1169 323.7445 209.9587 -1.058763E-06 323.3123 204.8163 0 0.5 0.5
5 0.1054596 0.1666877 1.528087 1.366454 331.7463 204.6321 355.7964 0.1974818 1.530246 1.35361 331.7463 204.6321 355.7964 0.1358936 1.525928 1.379297 331.7463 204.6321 355.7964 323.7546 210.9426 0 323.328 206.323 -1.064466E-06 0.5 0.5
6 0.1341399 0.1658828 1.528176 1.366765 331.7188 204.9208 355.5818 0.1966285 1.530444 1.353825 331.7188 204.9208 355.5818 0.135137 1.525908 1.379704 331.7188 204.9208 355.5818 324.1638 211.2622 0 323.6822 206.1304 1.059609E-06 0.5 0.5
7 0.150865 0.1648334 1.528089 1.367374 331.6229 205.5122 355.3398 0.1954643 1.530479 1.354187 331.6229 205.5122 355.3398 0.1342024 1.525699 1.380562 331.6229 205.5122 355.3398 324.8489 210.4416 0 324.4604 206.1467 -1.049231E-06 0.5 0.5
8 0.1688957 0.1639226 1.528443 1.367723 331.4951 205.703 355.7763 0.194477 1.530607 1.354321 331.4951 205.703 355.7763 0.1333682 1.526279 1.381126 331.4951 205.703 355.7763 325.0142 211.7081 2.084169E-06 324.5386 206.6163 2.09642E-06 0.5 0.5
9 0.198757 0.1634691 1.528312 1.367672 331.4328 205.9255 355.7696 0.1939728 1.530478 1.354155 331.4328 205.9255 355.7696 0.1329654 1.526146 1.381189 331.4328 205.9255 355.7696 324.8364 211.7739 2.088715E-06 324.3973 206.9481 1.050058E-06 0.5 0.5
10 0.2145714 0.1625899 1.528537 1.367859 331.2058 206.2986 355.945 0.1929936 1.530609 1.354104 331.2058 206.2986 355.945 0.1321862 1.526465 1.381614 331.2058 206.2986 355.945 325.181 211.8866 0 324.7318 206.8031 -1.045704E-06 0.5 0.5
