#Frame, Timer, HeadX, HeadY, HeadZ, HeadRX, HeadRY, HeadRZ, LHandX, LHandY, LHandZ, LHandRX, LHandRY, LHandRZ, RHandX, RHandY, RHandZ, RHandRX, RHandRY, RHandRZ, LEyeRX, LEyeRY, LEyeRZ, REyeRX, REyeRY, REyeRZ, LEyeConf, REyeConf
1 0.02612 -1.081599 1.499489 0.5550241 357.1838 123.5871 355.2969 -1.063876 1.502137 0.5819478 357.1838 123.5871 355.2969 -1.099322 1.49684 0.5281005 357.1838 123.5871 355.2969 357.9576 131.3134 -5.339477E-08 357.4825 125.7592 -1.068248E-07 0.5 0.5
2 0.034721 -1.081952 1.499879 0.5544356 356.9132 122.7137 355.3136 -1.064651 1.502518 0.5816334 356.9132 122.7137 355.3136 -1.099253 1.497241 0.5272378 356.9132 122.7137 355.3136 357.8392 130.9452 0 357.3625 125.3907 1.068349E-07 0.5 0.5
3 0.0483933 -1.081909 1.499921 0.5541967 356.8774 122.3728 355.3372 -1.064771 1.502546 0.5814984 356.8774 122.3728 355.3372 -1.099048 1.497295 0.526895 356.8774 122.3728 355.3372 358.7452 130.3869 -5.337365E-08 358.241 124.3895 5.338601E-08 0.5 0.5
4 0.06316675 -1.081997 1.499941 0.5538253 356.8933 121.9299 355.4267 -1.065065 1.502516 0.5812603 356.8933 121.9299 355.4267 -1.098929 1.497366 0.5263904 356.8933 121.9299 355.4267 358.8164 130.9668 0 358.2978 124.7457 1.067688E-07 0.5 0.5
5 0.07780135 -1.08225 1.499953 0.5533438 356.9081 121.5508 355.5131 -1.065496 1.50248 0.5808917 356.9081 121.5508 355.5131 -1.099005 1.497427 0.5257958 356.9081 121.5508 355.5131 359.0103 130.5275 2.668441E-08 358.5016 124.3068 5.33791E-08 0.5 0.5
6 0.09680849 -1.08282 1.499908 0.5521914 356.9118 120.9577 355.5671 -1.066349 1.502405 0.5799124 356.9118 120.9577 355.5671 -1.099292 1.497412 0.5244704 356.9118 120.9577 355.5671 359.4071 129.7064 0 358.8732 123.0388 0 0.5 0.5
7 0.1073879 -1.083199 1.499848 0.5514777 356.9176 120.5653 355.6254 -1.066915 1.502311 0.579312 356.9176 120.5653 355.6254 -1.099484 1.497384 0.5236434 356.9176 120.5653 355.6254 359.3907 129.0884 -2.668194E-08 358.8651 122.4201 5.337132E-08 0.5 0.5
8 0.1226308 -1.083678 1.499685 0.5506772 357.0193 120.3366 355.6504 -1.0675 1.502134 0.5785747 357.0193 120.3366 355.6504 -1.099856 1.497235 0.5227798 357.0193 120.3366 355.6504 359.2424 129.0011 2.668276E-08 358.7349 122.5552 -5.337386E-08 0.5 0.5
9 0.1482512 -1.08404 1.499501 0.5501404 357.1542 120.3217 355.6395 -1.067864 1.501957 0.5780389 357.1542 120.3217 355.6395 -1.100215 1.497045 0.5222419 357.1542 120.3217 355.6395 358.5455 129.7724 -5.337805E-08 358.0471 123.5475 -5.339186E-08 0.5 0.5
10 0.1542208 -1.085105 1.498971 0.5482684 357.3977 119.7693 355.7021 -1.069187 1.501392 0.5763178 357.3977 119.7693 355.7021 -1.101022 1.49655 0.5202189 357.3977 119.7693 355.7021 358.6003 129.6636 -5.337678E-08 358.1044 123.4387 5.339006E-08 0.5 0.5
