#Frame, Timer, HeadX, HeadY, HeadZ, HeadRX, HeadRY, HeadRZ, LHandX, LHandY, LHandZ, LHandRX, LHandRY, LHandRZ, RHandX, RHandY, RHandZ, RHandRX, RHandRY, RHandRZ, LEyeRX, LEyeRY, LEyeRZ, REyeRX, REyeRY, REyeRZ, LEyeConf, REyeConf
1 0.00781045 -0.3079723 1.538661 -0.6922189 356.495 71.42066 356.8864 -0.3189127 1.540507 -0.6600261 356.495 71.42066 356.8864 -0.2970318 1.536815 -0.7244117 356.495 71.42066 356.8864 12.6842 57.12908 0 12.26735 54.10472 8.737235E-07 0.5 0.5
2 0.0174058 -0.3088508 1.53927 -0.6923124 356.2572 68.99339 356.9109 -0.3211514 1.541101 -0.6606134 356.2572 68.99339 356.9109 -0.2965502 1.537439 -0.7240113 356.2572 68.99339 356.9109 12.23182 52.01985 -8.736059E-07 11.82475 48.99923 -4.361422E-07 0.5 0.5
3 0.0228704 -0.3098111 1.539786 -0.692553 356.11 66.78073 357.0096 -0.3233283 1.541559 -0.6613501 356.11 66.78073 357.0096 -0.2962939 1.538014 -0.723756 356.11 66.78073 357.0096 12.14191 53.3207 4.366549E-07 11.76132 50.07653 -8.720829E-07 0.5 0.5
4 0.02980385 -0.3108235 1.540149 -0.6930436 355.9262 64.59682 357.1475 -0.3255216 1.541839 -0.6623746 355.9262 64.59682 357.1475 -0.2961254 1.538459 -0.7237127 355.9262 64.59682 357.1475 11.99349 51.06674 4.364132E-07 11.62287 47.82308 -4.358234E-07 0.5 0.5
5 0.036655 -0.3119509 1.540544 -0.6935584 355.7886 62.41234 357.2525 -0.3278083 1.542171 -0.663469 355.7886 62.41234 357.2525 -0.2960935 1.538916 -0.7236478 355.7886 62.41234 357.2525 13.17114 55.51541 0 12.83902 51.83587 4.378334E-07 0.5 0.5
6 0.04356285 -0.313017 1.540876 -0.6942647 355.718 60.40171 357.3567 -0.3299194 1.542442 -0.6647463 355.718 60.40171 357.3567 -0.2961145 1.53931 -0.7237831 355.718 60.40171 357.3567 13.04693 53.30955 0 12.72304 49.63101 4.376324E-07 0.5 0.5
7 0.0516428 -0.3130738 1.540712 -0.6944743 355.8025 60.69736 357.3525 -0.3298219 1.54228 -0.6648682 355.8025 60.69736 357.3525 -0.2963258 1.539143 -0.7240805 355.8025 60.69736 357.3525 13.01305 51.37839 4.381388E-07 12.69628 47.69963 -4.375863E-07 0.5 0.5
8 0.05700635 -0.3152217 1.541288 -0.6956093 355.586 56.38535 357.6049 -0.3341473 1.542707 -0.6673375 355.586 56.38535 357.6049 -0.2962961 1.539869 -0.723881 355.586 56.38535 357.6049 13.74311 57.97253 4.394685E-07 13.50261 54.07381 0 0.5 0.5
9 0.0664543 -0.3162882 1.541833 -0.6963208 355.5103 54.46239 357.8198 -0.3361482 1.543124 -0.6686912 355.5103 54.46239 357.8198 -0.2964282 1.540541 -0.7239504 355.5103 54.46239 357.8198 13.54869 53.8508 0 13.32809 49.95386 4.387029E-07 0.5 0.5
10 0.0715329 -0.3174173 1.54225 -0.6970941 355.4255 52.54339 357.9904 -0.3381887 1.54344 -0.6701384 355.4255 52.54339 357.9904 -0.2966458 1.54106 -0.7240499 355.4255 52.54339 357.9904 13.88668 57.4212 -4.397394E-07 13.75423 53.29315 -4.394894E-07 0.5 0.5
11 0.0770757 -0.3185571 1.54233 -0.6978112 355.3346 50.64219 358.2049 -0.3402075 1.543393 -0.6715508 355.3346 50.64219 358.2049 -0.2969067 1.541266 -0.7240716 355.3346 50.64219 358.2049 13.7908 55.49629 -1.318674E-06 13.67124 51.3694 8.786682E-07 0.5 0.5
12 0.08505985 -0.3198038 1.542226 -0.6985134 355.3023 48.78481 358.3831 -0.34229 1.543184 -0.6729608 355.3023 48.78481 358.3831 -0.2973176 1.541269 -0.724066 355.3023 48.78481 358.3831 13.70909 53.7111 0 13.6047 49.58507 -4.392103E-07 0.5 0.5
13 0.09049185 -0.3210106 1.542259 -0.6992102 355.2739 46.90747 358.5923 -0.344317 1.543092 -0.6743989 355.2739 46.90747 358.5923 -0.2977043 1.541425 -0.7240216 355.2739 46.90747 358.5923 14.07822 51.8203 4.401056E-07 13.98742 47.67268 0 0.5 0.5
14 0.09857325 -0.322328 1.54232 -0.6999531 355.2628 45.07631 358.7387 -0.3464117 1.543067 -0.6758928 355.2628 45.07631 358.7387 -0.2982443 1.541573 -0.7240134 355.2628 45.07631 358.7387 14.03064 49.99775 -4.400141E-07 13.95293 45.85062 0 0.5 0.5
15 0.1044749 -0.3235207 1.542419 -0.7006276 355.2289 43.25675 358.8155 -0.3483546 1.543121 -0.677341 355.2289 43.25675 358.8155 -0.2986867 1.541718 -0.7239142 355.2289 43.25675 358.8155 14.04797 38.73525 -4.400474E-07 13.80606 34.40391 0 0.5 0.5
