#Frame, Timer, HeadX, HeadY, HeadZ, HeadRX, HeadRY, HeadRZ, LHandX, LHandY, LHandZ, LHandRX, LHandRY, LHandRZ, RHandX, RHandY, RHandZ, RHandRX, RHandRY, RHandRZ, LEyeRX, LEyeRY, LEyeRZ, REyeRX, REyeRY, REyeRZ, LEyeConf, REyeConf
1 0.0844192 0.3568256 1.445426 -1.222147 54.65762 295.8757 6.927239 0.3454622 1.443126 -1.253005 54.65762 295.8757 6.927239 0.368189 1.447725 -1.191288 54.65762 295.8757 6.927239 67.4332 298.3455 -8.899029E-06 67.75564 290.4749 0 0.5 0.5
2 0.1484563 0.3576529 1.460603 -1.21453 49.3155 301.205 9.205113 0.3442141 1.457165 -1.244434 49.3155 301.205 9.205113 0.3710917 1.46404 -1.184626 49.3155 301.205 9.205113 66.15697 304.5673 4.224174E-06 66.78687 296.0396 -4.332198E-06 0.5 0.5
3 0.2428957 0.3582974 1.495269 -1.208939 30.48722 307.1701 11.02765 0.3412977 1.489835 -1.236655 30.48722 307.1701 11.02765 0.3752972 1.500703 -1.181224 30.48722 307.1701 11.02765 38.82026 317.9965 -3.287468E-06 39.98539 313.3867 -1.114284E-06 0.5 0.5
4 0.3103852 0.3606915 1.514944 -1.211254 19.88455 308.3596 6.697137 0.3413988 1.511329 -1.237737 19.88455 308.3596 6.697135 0.3799843 1.518559 -1.18477 19.88455 308.3596 6.697135 34.46541 315.8181 -2.07109E-06 35.25437 311.3952 -2.091051E-06 0.5 0.5
5 0.403256 0.3534122 1.514457 -1.205087 18.24818 311.973 4.016909 0.331958 1.512264 -1.230018 18.24818 311.973 4.016909 0.3748665 1.51665 -1.180156 18.24818 311.973 4.016909 27.10738 319.0316 9.591301E-07 27.59579 315.3549 0 0.5 0.5
6 0.4790115 0.3362173 1.514281 -1.185989 18.41029 315.6966 3.583349 0.3131268 1.512326 -1.209434 18.41029 315.6966 3.583349 0.3593079 1.516235 -1.162544 18.41029 315.6966 3.583349 26.19913 320.7995 0 26.58008 316.662 0 0.5 0.5
7 0.5826584 0.3166011 1.511015 -1.161728 18.99614 314.6611 3.46451 0.2939335 1.509131 -1.185588 18.99614 314.6611 3.46451 0.3392687 1.512898 -1.137868 18.99614 314.6611 3.46451 26.97888 321.3832 -9.580325E-07 27.29058 317.7141 0 0.5 0.5
8 0.6786246 0.2874244 1.504224 -1.119926 21.26189 308.7023 4.308987 0.2675717 1.501916 -1.146141 21.26189 308.7023 4.308987 0.307277 1.506532 -1.093711 21.26189 308.7023 4.308987 32.88745 307.1104 -1.016713E-06 32.93808 304.0158 2.03459E-06 0.5 0.5
9 0.789559 0.2561097 1.502666 -1.075482 22.36544 292.3849 1.013795 0.243763 1.502126 -1.106042 22.36544 292.3849 1.013795 0.2684563 1.503205 -1.044921 22.36544 292.3849 1.013795 36.64983 290.3723 2.128319E-06 36.55257 286.9134 0 0.5 0.5
10 0.8887017 0.2303079 1.503029 -1.027942 22.9475 284.2257 2.725768 0.2228087 1.501585 -1.06001 22.9475 284.2257 2.725768 0.2378071 1.504473 -0.9958744 22.9475 284.2257 2.725768 37.46705 285.9723 4.302735E-06 37.5208 282.1996 0 0.5 0.5
