#Frame, Timer, HeadX, HeadY, HeadZ, HeadRX, HeadRY, HeadRZ, LHandX, LHandY, LHandZ, LHandRX, LHandRY, LHandRZ, RHandX, RHandY, RHandZ, RHandRX, RHandRY, RHandRZ, LEyeRX, LEyeRY, LEyeRZ, REyeRX, REyeRY, REyeRZ, LEyeConf, REyeConf
1 0.0077295 -0.5700631 1.551634 -0.9179865 343.2517 30.59888 358.0305 -0.5995731 1.552756 -0.9009275 343.2517 30.59888 358.0305 -0.540553 1.550512 -0.9350455 343.2517 30.59888 358.0305 352.7169 40.17473 -2.151795E-07 352.4937 35.74968 -2.152884E-07 0.5 0.5
2 0.01756755 -0.5696279 1.55145 -0.9180154 343.2463 30.76325 358.0167 -0.5990899 1.55258 -0.900874 343.2463 30.76325 358.0167 -0.5401659 1.550319 -0.9351567 343.2463 30.76325 358.0167 352.6992 40.13066 -2.15188E-07 352.4858 35.90516 -2.152922E-07 0.5 0.5
3 0.02270845 -0.5691588 1.551483 -0.9180632 343.2633 30.91135 358.0083 -0.5985768 1.552618 -0.9008468 343.2633 30.91135 358.0083 -0.5397408 1.550348 -0.9352795 343.2633 30.91135 358.0083 352.705 40.29226 0 352.4906 36.06684 2.152899E-07 0.5 0.5
4 0.0296379 -0.5686299 1.55144 -0.9180439 343.283 31.05097 358.0012 -0.5980062 1.55258 -0.9007566 343.283 31.05097 358.0012 -0.5392537 1.550301 -0.9353311 343.283 31.05097 358.0012 353.1559 40.37034 0 352.9476 36.18494 4.301412E-07 0.5 0.5
5 0.0361757 -0.5681598 1.551408 -0.9179758 343.2799 31.17209 357.9775 -0.5975012 1.552561 -0.9006304 343.2799 31.17209 357.9775 -0.5388185 1.550255 -0.9353213 343.2799 31.17209 357.9775 353.1714 40.50978 -4.299367E-07 352.9619 36.32458 0 0.5 0.5
6 0.04270885 -0.5677567 1.551312 -0.9179262 343.3042 31.30359 357.9613 -0.5970591 1.552474 -0.9005155 343.3042 31.30359 357.9613 -0.5384544 1.55015 -0.9353369 343.3042 31.30359 357.9613 353.1856 40.63231 2.149619E-07 352.9746 36.44731 -2.150581E-07 0.5 0.5
7 0.0496277 -0.5673622 1.551307 -0.917919 343.3114 31.40898 357.9431 -0.5966337 1.552479 -0.9004571 343.3114 31.40898 357.9431 -0.5380907 1.550134 -0.9353808 343.3114 31.40898 357.9431 352.9594 40.30943 6.451953E-07 352.7406 35.90876 4.303363E-07 0.5 0.5
8 0.05631335 -0.5669742 1.551275 -0.9178879 343.3424 31.50826 357.9305 -0.5962159 1.552455 -0.9003768 343.3424 31.50826 357.9305 -0.5377324 1.550095 -0.9353989 343.3424 31.50826 357.9305 352.9771 40.40612 -2.150569E-07 352.7575 36.00566 -2.151601E-07 0.5 0.5
9 0.0630041 -0.5665726 1.551271 -0.9178162 343.3488 31.57734 357.9212 -0.5957938 1.552456 -0.9002712 343.3488 31.57734 357.9212 -0.5373514 1.550086 -0.9353611 343.3488 31.57734 357.9212 353.4401 40.46872 2.1485E-07 353.2235 36.06824 0 0.5 0.5
10 0.0699464 -0.5662104 1.551209 -0.9177671 343.3574 31.65937 357.8766 -0.5954096 1.55242 -0.9001871 343.3574 31.65937 357.8766 -0.5370113 1.549999 -0.9353471 343.3574 31.65937 357.8766 353.4489 40.54077 -2.148462E-07 353.2307 36.14042 2.149418E-07 0.5 0.5
11 0.0766939 -0.5658134 1.551173 -0.9176769 343.3682 31.72846 357.838 -0.5949939 1.552405 -0.9000676 343.3682 31.72846 357.838 -0.5366329 1.54994 -0.9352863 343.3682 31.72846 357.838 353.4623 40.62149 -2.148405E-07 353.2397 36.22149 -2.149378E-07 0.5 0.5
12 0.08370395 -0.565449 1.55107 -0.9175923 343.3789 31.79596 357.8125 -0.5946105 1.552318 -0.8999525 343.3789 31.79596 357.8125 -0.5362875 1.549823 -0.9352322 343.3789 31.79596 357.8125 353.4621 40.47429 2.148406E-07 353.2494 36.29067 -2.149335E-07 0.5 0.5
13 0.09056635 -0.5650171 1.551028 -0.9174692 343.3975 31.85007 357.8027 -0.5941623 1.552281 -0.899803 343.3975 31.85007 357.8027 -0.5358719 1.549775 -0.9351354 343.3975 31.85007 357.8027 353.4827 40.53185 0 353.2691 36.34845 0 0.5 0.5
14 0.09750705 -0.5646258 1.550943 -0.9173503 343.4192 31.90683 357.7928 -0.5937539 1.552202 -0.8996564 343.4192 31.90683 357.7928 -0.5354977 1.549684 -0.9350442 343.4192 31.90683 357.7928 353.5054 40.57174 0 353.2928 36.38891 0 0.5 0.5
15 0.1042811 -0.5642075 1.551 -0.917269 343.4297 31.9517 357.7756 -0.5933229 1.552268 -0.8995547 343.4297 31.9517 357.7756 -0.5350921 1.549731 -0.9349833 343.4297 31.9517 357.7756 353.5349 40.636 0 353.3202 36.45351 2.149022E-07 0.5 0.5
16 0.1115575 -0.5638402 1.551027 -0.9171456 343.4343 32.0043 357.7223 -0.592943 1.552326 -0.8994128 343.4343 32.0043 357.7223 -0.5347374 1.549728 -0.9348783 343.4343 32.0043 357.7223 353.7606 40.66663 2.147153E-07 353.5471 36.48886 -2.148043E-07 0.5 0.5
17 0.1183792 -0.5634658 1.551128 -0.917012 343.4287 32.04739 357.6931 -0.5925574 1.552444 -0.899262 343.4287 32.04739 357.6931 -0.5343743 1.549813 -0.9347619 343.4287 32.04739 357.6931 353.7704 40.71848 2.147112E-07 353.5529 36.54096 0 0.5 0.5
