#Frame,Timer,HeadX,HeadY,HeadZ,HeadRX,HeadRY,HeadRZ,LHandX,LHandY,LHandZ,LHandRX,LHandRY,LHandRZ,RHandX,RHandY,RHandZ,RHandRX,RHandRY,RHandRZ,LEyeRX,LEyeRY,LEyeRZ,REyeRX,REyeRY,REyeRZ,LEyeConf,REyeConf
1.0,0.0070664,-0.8775548,1.567531,-0.4082689,333.0311,297.9857,0.7624011,-0.8936846,1.567128,-0.4381856,333.0311,297.9857,0.7624011,-0.8614251,1.567934,-0.3783521,333.0311,297.9857,0.7624011,343.8021,301.1268,-8.890662e-07,343.8238,297.74,8.889684e-07,0.5,0.5
2.0,0.0166233,-0.8772319,1.56749,-0.4083966,333.0344,297.93,0.769951,-0.8933343,1.567083,-0.438328,333.0344,297.93,0.769951,-0.8611295,1.567897,-0.3784651,333.0344,297.93,0.769951,344.4991,301.8331,-4.430004e-07,344.5131,298.2193,0.0,0.5,0.5
3.0,0.0281786,-0.8768634,1.567409,-0.4087507,333.0611,297.9745,0.7822014,-0.8929917,1.566996,-0.4386681,333.0611,297.9745,0.7822014,-0.8607351,1.567823,-0.3788334,333.0611,297.9745,0.7822014,344.0613,302.2294,0.0,344.0703,298.388,0.0,0.5,0.5
4.0,0.0359895,-0.8761474,1.567253,-0.4091544,333.1392,297.8992,0.6888711,-0.8922142,1.566888,-0.4391055,333.1392,297.8992,0.6888711,-0.8600807,1.567618,-0.3792033,333.1392,297.8992,0.6888711,344.1033,302.2361,0.0,344.1111,298.3955,8.87688e-07,0.5,0.5
5.0,0.0430195,-0.8758446,1.567131,-0.4092612,333.2143,297.8968,0.6275132,-0.8918954,1.566799,-0.4392213,333.2143,297.8968,0.6275132,-0.8597938,1.567463,-0.3793012,333.2143,297.8968,0.6275132,344.1887,302.1415,-4.436735e-07,344.1912,298.3024,0.0,0.5,0.5
6.0,0.0500693,-0.8755404,1.566993,-0.4093701,333.3591,297.9795,0.5392122,-0.8916131,1.566707,-0.4393189,333.3591,297.9795,0.5392131,-0.8594677,1.567279,-0.3794214,333.3591,297.9795,0.5392131,344.3231,302.1934,0.0,344.3193,298.5789,4.433884e-07,0.5,0.5
7.0,0.0547944,-0.8751699,1.566901,-0.4093706,333.4977,298.0698,0.4861755,-0.8912769,1.566643,-0.4393011,333.4977,298.0698,0.4861755,-0.8590629,1.567159,-0.37944,333.4977,298.0698,0.4861755,344.4406,302.2165,-4.431261e-07,344.433,298.604,-4.431426e-07,0.5,0.5
8.0,0.06176875,-0.8748475,1.566885,-0.4093204,333.6416,298.213,0.4689482,-0.8910248,1.566635,-0.4392131,333.6416,298.213,0.4689482,-0.8586702,1.567134,-0.3794276,333.6416,298.213,0.4689482,344.5829,302.2924,4.428213e-07,344.5737,298.6824,-8.856819e-07,0.5,0.5
9.0,0.0687392,-0.8743888,1.566748,-0.4090941,333.775,298.3245,0.4130217,-0.8906109,1.566528,-0.4389628,333.775,298.3245,0.4130217,-0.8581667,1.566968,-0.3792255,333.775,298.3245,0.4130217,344.267,302.8957,-4.435022e-07,344.2491,299.0347,4.435414e-07,0.5,0.5
10.0,0.0751035,-0.8740124,1.566566,-0.4089397,333.9507,298.5694,0.2775038,-0.8903306,1.566418,-0.4387564,333.9507,298.5694,0.2775038,-0.8576941,1.566714,-0.3791231,333.9507,298.5694,0.2775038,344.4059,303.0379,1.329603e-06,344.384,299.1796,0.0,0.5,0.5
11.0,0.0825219,-0.8734817,1.566279,-0.4085534,334.1637,298.8452,0.138911,-0.8899115,1.566205,-0.438309,334.1637,298.8452,0.138911,-0.8570518,1.566353,-0.3787978,334.1637,298.8452,0.138911,344.6112,303.2668,0.0,344.5802,299.4123,0.0,0.5,0.5
12.0,0.08839345,-0.8730042,1.565978,-0.40798,334.4469,299.2186,0.02230711,-0.8896013,1.565966,-0.4376427,334.4469,299.2186,0.02230711,-0.8564071,1.56599,-0.3783173,334.4469,299.2186,0.02230711,344.8464,303.5,0.0,344.8089,299.6498,0.0,0.5,0.5
13.0,0.09512385,-0.8724468,1.56565,-0.4073443,334.7475,299.6483,359.9362,-0.8892469,1.565685,-0.4368925,334.7475,299.6483,359.9362,-0.8556467,1.565616,-0.3777961,334.7475,299.6483,359.9362,345.1407,303.8933,-8.833129e-07,345.098,300.0484,4.417439e-07,0.5,0.5
