#Frame,Timer,HeadX,HeadY,HeadZ,HeadRX,HeadRY,HeadRZ,LHandX,LHandY,LHandZ,LHandRX,LHandRY,LHandRZ,RHandX,RHandY,RHandZ,RHandRX,RHandRY,RHandRZ,LEyeRX,LEyeRY,LEyeRZ,REyeRX,REyeRY,REyeRZ,LEyeConf,REyeConf
1.0,0.0075448,-0.3827082,1.679281,-0.5445681,357.8309,44.3105,1.328573,-0.4068367,1.678498,-0.520972,357.8309,44.3105,1.328573,-0.3585797,1.680063,-0.5681641,357.8309,44.3105,1.328573,357.2397,31.78752,-5.342284e-08,357.3632,28.24126,0.0,0.5,0.5
2.0,0.0170494,-0.3864666,1.678737,-0.5460787,358.1212,43.99468,1.334602,-0.4107274,1.677951,-0.5226188,358.1212,43.99468,1.334602,-0.3622058,1.679523,-0.5695387,358.1212,43.99468,1.334602,358.2167,32.3347,0.0,358.3346,28.56536,0.0,0.5,0.5
3.0,0.02280635,-0.3901792,1.678621,-0.5476237,358.4411,43.67138,1.280813,-0.4145762,1.677867,-0.5243044,358.4411,43.67138,1.280813,-0.3657823,1.679375,-0.570943,358.4411,43.67138,1.280813,358.4792,32.04125,-2.668983e-08,358.5931,28.27228,0.0,0.5,0.5
4.0,0.02934035,-0.3939071,1.678749,-0.5491901,358.672,43.36053,1.188664,-0.4184341,1.678049,-0.5260058,358.672,43.36053,1.188664,-0.3693802,1.679449,-0.5723744,358.672,43.36053,1.188664,358.7237,33.07874,-2.668705e-08,358.8254,29.30978,-5.337206e-08,0.5,0.5
5.0,0.0359267,-0.3974206,1.679033,-0.5508413,358.8838,43.00568,1.148776,-0.4220931,1.678356,-0.5278112,358.8838,43.00568,1.148776,-0.3727481,1.679709,-0.5738713,358.8838,43.00568,1.148776,358.9419,32.75438,-5.336995e-08,359.035,28.98547,0.0,0.5,0.5
6.0,0.0431597,-0.4007164,1.679445,-0.5526713,359.0681,42.57145,1.245774,-0.4255627,1.678711,-0.5298306,359.0681,42.57145,1.245774,-0.3758702,1.680179,-0.575512,359.0681,42.57145,1.245774,358.4366,33.22336,0.0,358.5432,29.22933,0.0,0.5,0.5
7.0,0.04991085,-0.4039481,1.680024,-0.5543585,359.1645,42.14005,1.348946,-0.4289649,1.679229,-0.5317068,359.1645,42.14005,1.348946,-0.3789314,1.680819,-0.5770103,359.1645,42.14005,1.348946,358.6115,32.8126,-5.337652e-08,358.7216,28.81896,5.337414e-08,0.5,0.5
8.0,0.05871865,-0.4069708,1.680531,-0.5561963,359.1738,41.69757,1.397538,-0.432161,1.679708,-0.5337386,359.1738,41.69757,1.397538,-0.3817805,1.681354,-0.5786539,359.1738,41.69757,1.397538,358.6648,32.37102,0.0,358.7805,28.37764,2.668647e-08,0.5,0.5
9.0,0.06357055,-0.4101053,1.680841,-0.5579736,359.1464,41.34266,1.330848,-0.435435,1.680057,-0.5356719,359.1464,41.34266,1.330848,-0.3847756,1.681625,-0.5802752,359.1464,41.34266,1.330848,358.0297,33.09912,-1.067848e-07,358.1517,29.10546,0.0,0.5,0.5
10.0,0.07029065,-0.4130579,1.680994,-0.5599378,359.1158,40.99265,1.259694,-0.4385242,1.680252,-0.5377909,359.1158,40.99265,1.259694,-0.3875916,1.681736,-0.5820848,359.1158,40.99265,1.259694,357.9945,32.72967,-5.339356e-08,358.1114,28.73576,0.0,0.5,0.5
11.0,0.0770741,-0.4160095,1.681154,-0.5620655,359.1214,40.68737,1.176612,-0.4415947,1.680461,-0.5400544,359.1214,40.68737,1.176612,-0.3904242,1.681848,-0.5840765,359.1214,40.68737,1.176612,357.974,32.41004,0.0,358.0864,28.41596,-1.067813e-07,0.5,0.5
12.0,0.08419541,-0.4187785,1.681126,-0.5644791,359.1844,40.40145,1.117547,-0.4444747,1.680468,-0.5425965,359.1844,40.40145,1.117547,-0.3930824,1.681785,-0.5863616,359.1844,40.40145,1.117547,357.9697,32.1022,-5.339437e-08,358.0779,28.10799,0.0,0.5,0.5
13.0,0.09096895,-0.4215884,1.681243,-0.5667629,359.3086,40.12117,1.084324,-0.4473926,1.680604,-0.5450073,359.3086,40.12117,1.084324,-0.3957842,1.681882,-0.5885184,359.3086,40.12117,1.084324,358.0704,31.82306,1.067823e-07,358.1742,27.82898,-2.669398e-08,0.5,0.5
14.0,0.09800515,-0.4243104,1.681274,-0.5693253,359.4545,39.87643,1.08192,-0.4502085,1.680636,-0.5476814,359.4545,39.87643,1.08192,-0.3984124,1.681911,-0.5909691,359.4545,39.87643,1.08192,358.2018,31.54556,0.0,358.3015,27.55164,0.0,0.5,0.5
15.0,0.1050862,-0.4269407,1.681363,-0.5719097,359.5931,39.60612,1.116322,-0.4529411,1.680706,-0.5503896,359.5931,39.60612,1.116322,-0.4009403,1.682021,-0.5934299,359.5931,39.60612,1.116322,3.478286,27.80598,1.069187e-07,3.493913,24.48665,0.0,0.5,0.5
16.0,0.1119277,-0.4294882,1.681324,-0.5746311,359.6946,39.34893,1.163629,-0.4555852,1.680638,-0.553229,359.6946,39.34893,1.163629,-0.4033912,1.682009,-0.5960332,359.6946,39.34893,1.163629,3.593585,27.5477,-5.346598e-08,3.609323,24.22796,-1.069338e-07,0.5,0.5
