#Frame, Timer, HeadX, HeadY, HeadZ, HeadRX, HeadRY, HeadRZ, LHandX, LHandY, LHandZ, LHandRX, LHandRY, LHandRZ, RHandX, RHandY, RHandZ, RHandRX, RHandRY, RHandRZ, LEyeRX, LEyeRY, LEyeRZ, REyeRX, REyeRY, REyeRZ, LEyeConf, REyeConf
1 0.00756385 -0.01118505 1.54537 -0.3277057 347.8513 27.86309 2.03425 -0.04126267 1.544184 -0.3115164 347.8513 27.86309 2.03425 0.01889257 1.546556 -0.3438949 347.8513 27.86309 2.03425 359.323 36.612 2.668229E-08 359.4733 32.26443 -1.334078E-08 0.5 0.5
2 0.02623865 -0.01109935 1.544569 -0.3282104 348.2739 27.84703 1.884338 -0.04119679 1.543469 -0.3120519 348.2739 27.84703 1.884338 0.01899808 1.54567 -0.3443689 348.2739 27.84703 1.884338 359.7094 36.45322 -6.670192E-09 359.8531 32.11667 3.335064E-09 0.5 0.5
3 0.0425015 -0.01108921 1.54098 -0.3303997 349.4445 27.26544 1.528346 -0.04138286 1.540084 -0.3145992 349.4445 27.26544 1.528346 0.01920445 1.541876 -0.3462001 349.4445 27.26544 1.528346 0.4015978 36.35768 0 0.5450501 32.01688 1.334082E-08 0.5 0.5
4 0.0564473 -0.01075122 1.539376 -0.3311505 350.0425 27.23679 1.424407 -0.04106338 1.538539 -0.3153824 350.0425 27.23679 1.424407 0.01956094 1.540213 -0.3469187 350.0425 27.23679 1.424407 1.607416 35.73438 0 1.733785 31.39136 5.338529E-08 0.5 0.5
5 0.06926925 -0.01025814 1.537997 -0.3317377 350.7102 27.3658 1.388854 -0.04054125 1.537179 -0.3159128 350.7102 27.3658 1.388854 0.02002496 1.538814 -0.3475626 350.7102 27.3658 1.388854 1.784047 35.69076 0 1.911449 31.12073 -1.601717E-07 0.5 0.5
6 0.0820768 -0.009719729 1.536765 -0.3320702 351.3229 27.62622 1.307131 -0.03993908 1.535994 -0.3161215 351.3229 27.62622 1.307131 0.02049962 1.537535 -0.3480188 351.3229 27.62622 1.307131 2.115805 35.86372 -1.067945E-07 2.245939 31.26749 1.068037E-07 0.5 0.5
7 0.0910217 -0.009201577 1.536187 -0.3321855 351.7564 28.03112 1.319783 -0.03930954 1.535408 -0.316028 351.7564 28.03112 1.319783 0.02090639 1.536966 -0.3483431 351.7564 28.03112 1.319783 2.735401 36.12355 -5.342172E-08 2.862995 31.53818 1.068551E-07 0.5 0.5
8 0.1018976 -0.008614808 1.535213 -0.332442 352.1986 28.32494 1.426449 -0.03863694 1.53437 -0.3161287 352.1986 28.32494 1.426449 0.02140732 1.536056 -0.3487553 352.1986 28.32494 1.426449 3.156817 36.5029 0 3.28965 31.91589 -1.068978E-07 0.5 0.5
9 0.1106737 -0.008231538 1.534392 -0.332547 352.8866 28.78806 1.495339 -0.03812234 1.533507 -0.3159965 352.8866 28.78806 1.495339 0.02165926 1.535277 -0.3490975 352.8866 28.78806 1.495339 3.702785 36.91254 -3.208349E-07 3.84712 32.32318 1.069627E-07 0.5 0.5
10 0.1213117 -0.007202532 1.532732 -0.3326906 353.7952 29.35011 1.6328 -0.03693014 1.531764 -0.3158532 353.7952 29.35011 1.6328 0.02252507 1.5337 -0.3495279 353.7952 29.35011 1.6328 4.79002 37.29008 -1.070957E-07 4.95131 32.71555 0 0.5 0.5
