#Frame, Timer, HeadX, HeadY, HeadZ, HeadRX, HeadRY, HeadRZ, LHandX, LHandY, LHandZ, LHandRX, LHandRY, LHandRZ, RHandX, RHandY, RHandZ, RHandRX, RHandRY, RHandRZ, LEyeRX, LEyeRY, LEyeRZ, REyeRX, REyeRY, REyeRZ, LEyeConf, REyeConf
1 0.155727 -0.9377235 1.994487 0.9112806 9.264546 28.72291 357.7429 -0.9676726 1.99582 0.9279408 9.264547 28.72291 357.7429 -0.9077744 1.993154 0.8946204 9.264547 28.72291 357.7429 0 0 0 0 0 0 0 0
2 0.2900312 -0.9473344 2.022588 0.8800327 354.4989 25.99413 0.9197986 -0.9781349 2.02204 0.8951099 354.4989 25.99413 0.9197986 -0.9165339 2.023136 0.8649555 354.4989 25.99413 0.9197986 0 0 0 0 0 0 0 0
3 0.4456651 -0.9494739 2.035047 0.8532698 345.2011 24.97756 1.05113 -0.9804901 2.034439 0.8678955 345.2011 24.97756 1.05113 -0.9184576 2.035655 0.8386441 345.2011 24.97756 1.05113 0 0 0 0 0 0 0 0
4 0.5957533 -0.9243822 2.010784 0.8444637 359.034 33.57211 358.0436 -0.9529525 2.011955 0.863402 359.034 33.57211 358.0436 -0.8958119 2.009614 0.8255254 359.034 33.57211 358.0436 0 0 0 0 0 0 0 0
5 0.76242 -0.8945734 1.988475 0.8527238 11.06994 28.64009 353.6431 -0.9241396 1.992202 0.8697014 11.06994 28.64009 353.6431 -0.8650072 1.984748 0.8357461 11.06994 28.64009 353.6431 0 0 0 0 0 0 0 0
6 0.9189135 -0.8391086 1.981688 0.8398879 13.78252 29.81577 354.2183 -0.8683051 1.985044 0.8575682 13.78252 29.81577 354.2183 -0.8099121 1.978333 0.8222075 13.78252 29.81577 354.2183 0 0 0 0 0 0 0 0
7 1.083688 -0.7683574 1.976081 0.8228864 11.9711 29.52945 354.7747 -0.7977561 1.979137 0.8402839 11.9711 29.52945 354.7747 -0.7389587 1.973025 0.8054889 11.9711 29.52945 354.7747 0 0 0 0 0 0 0 0
8 1.249214 -0.6766886 1.982011 0.8183885 7.049916 27.29947 354.1686 -0.7068118 1.985469 0.8344172 7.049916 27.29947 354.1686 -0.6465654 1.978553 0.8023598 7.049916 27.29947 354.1686 0 0 0 0 0 0 0 0
9 1.414172 -0.5809206 1.988007 0.7974911 4.294445 28.10422 354.2015 -0.6108968 1.991463 0.8137938 4.294445 28.10422 354.2015 -0.5509444 1.984552 0.7811883 4.294445 28.10422 354.2015 0 0 0 0 0 0 0 0
10 1.580839 -0.4874149 1.989724 0.7249643 7.04979 13.71896 352.6756 -0.5203344 1.994063 0.7335531 7.04979 13.71896 352.6756 -0.4544954 1.985384 0.7163754 7.04979 13.71896 352.6756 0 0 0 0 0 0 0 0
11 1.746637 -0.4257332 1.984853 0.6638777 6.280769 357.5154 350.9261 -0.4595949 1.99023 0.6630007 6.280769 357.5154 350.9261 -0.3918715 1.979477 0.6647547 6.280769 357.5154 350.9261 0 0 0 0 0 0 0 0
12 1.913304 -0.4179124 1.983003 0.6481587 8.980359 337.8964 351.4124 -0.4496334 1.988061 0.6361386 8.980359 337.8964 351.4124 -0.3861914 1.977944 0.6601787 8.980359 337.8964 351.4124 0 0 0 0 0 0 0 0
13 1.959891 -0.412172 1.98373 0.6578099 10.86334 330.603 353.3842 -0.4422196 1.987611 0.6417358 10.86334 330.603 353.3842 -0.3821245 1.97985 0.673884 10.86334 330.603 353.3842 0 0 0 0 0 0 0 0
14 2.117482 -0.3987256 1.983227 0.6881602 9.539316 338.8263 355.2003 -0.4307669 1.986057 0.6762592 9.539316 338.8263 355.2003 -0.3666843 1.980397 0.7000613 9.539316 338.8263 355.2003 0 0 0 0 0 0 0 0
15 2.16754 -0.3763937 1.979603 0.7261442 8.509171 346.4746 357.3318 -0.4097587 1.981182 0.7183613 8.509171 346.4746 357.3318 -0.3430287 1.978024 0.7339271 8.509171 346.4746 357.3318 0 0 0 0 0 0 0 0
16 2.333631 -0.3291833 1.985259 0.7428073 9.946919 342.3907 357.0555 -0.3619222 1.986994 0.7327353 9.946919 342.3907 357.0555 -0.2964444 1.983523 0.7528792 9.946919 342.3907 357.0555 0 0 0 0 0 0 0 0
17 2.40475 -0.2671109 1.98449 0.7462574 10.47699 333.6473 0.3221308 -0.2978277 1.9843 0.7310019 10.47699 333.6473 0.3221308 -0.236394 1.98468 0.7615129 10.47699 333.6473 0.3221308 0 0 0 0 0 0 0 0
18 2.559856 -0.2074673 1.981879 0.7364838 12.19068 324.4094 2.013272 -0.2351923 1.980701 0.7163286 12.19068 324.4094 2.013272 -0.1797424 1.983056 0.7566389 12.19068 324.4094 2.013272 0 0 0 0 0 0 0 0
19 2.639604 -0.1629703 1.982539 0.7151585 13.2051 317.2081 1.212087 -0.1880202 1.981833 0.6917428 13.2051 317.2081 1.212087 -0.1379204 1.983245 0.7385742 13.2051 317.2081 1.212087 0 0 0 0 0 0 0 0
20 2.786755 -0.124619 1.987415 0.675367 10.67951 315.225 1.223741 -0.1488646 1.986695 0.6511198 10.67951 315.225 1.223741 -0.1003734 1.988135 0.6996142 10.67951 315.225 1.223741 0 0 0 0 0 0 0 0
