#Frame, Timer, HeadX, HeadY, HeadZ, HeadRX, HeadRY, HeadRZ, LHandX, LHandY, LHandZ, LHandRX, LHandRY, LHandRZ, RHandX, RHandY, RHandZ, RHandRX, RHandRY, RHandRZ, LEyeRX, LEyeRY, LEyeRZ, REyeRX, REyeRY, REyeRZ, LEyeConf, REyeConf
1 0.01547885 -0.4079497 1.466007 -0.2955408 39.90045 338.2808 359.6709 -0.4395841 1.466157 -0.308007 39.90045 338.2808 359.6709 -0.3763154 1.465858 -0.2830745 39.90045 338.2808 359.6709 41.16743 357.1776 1.417684E-07 41.83095 352.5312 0 0.5 0.5
2 0.03501575 -0.4111876 1.468051 -0.2961589 39.1041 338.8528 0.1952166 -0.4428736 1.467961 -0.3084939 39.1041 338.8528 0.1952166 -0.3795016 1.468141 -0.283824 39.1041 338.8528 0.1952166 42.1394 357.0521 0 42.84289 352.048 -8.733112E-07 0.5 0.5
3 0.05414345 -0.4152493 1.46983 -0.2974701 38.35614 339.4224 0.5801287 -0.4470055 1.46956 -0.3096204 38.35614 339.4224 0.5801287 -0.3834931 1.4701 -0.2853197 38.35614 339.4224 0.5801287 42.84467 357.2281 1.455561E-07 43.53583 352.475 0 0.5 0.5
4 0.069247 -0.4187362 1.471993 -0.2980523 37.74901 339.7269 0.6821743 -0.4505441 1.471673 -0.3100657 37.74901 339.7269 0.6821743 -0.3869284 1.472313 -0.286039 37.74901 339.7269 0.6821743 42.66603 357.5107 -7.256854E-08 43.36154 352.7753 0 0.5 0.5
5 0.08945165 -0.4241806 1.475858 -0.2992462 36.68474 340.4755 1.070697 -0.4560954 1.475348 -0.3109659 36.68474 340.4755 1.070697 -0.3922659 1.476367 -0.2875265 36.68474 340.4755 1.070697 43.55911 357.5376 7.363531E-08 44.30009 352.4394 -5.964676E-07 0.5 0.5
6 0.1100399 -0.430501 1.48119 -0.2998568 35.23797 341.5384 1.248625 -0.4626104 1.480585 -0.3110273 35.23797 341.5384 1.248625 -0.3983915 1.481796 -0.2886864 35.23797 341.5384 1.248625 42.38362 358.1215 7.224123E-08 43.11937 353.1199 2.924158E-07 0.5 0.5
7 0.1249945 -0.4355311 1.485217 -0.299894 33.35725 342.5757 1.433942 -0.467823 1.484506 -0.310519 33.35725 342.5757 1.433942 -0.4032393 1.485928 -0.2892689 33.35725 342.5757 1.433942 41.38793 358.6958 0 42.0968 353.8091 0 0.5 0.5
8 0.1445583 -0.442826 1.489999 -0.300912 30.99383 343.8914 1.834707 -0.4753211 1.489066 -0.31088 30.99383 343.8914 1.834707 -0.410331 1.490932 -0.2909439 30.99383 343.8914 1.834707 39.74471 359.2233 -6.939887E-08 40.4386 354.4534 -2.804401E-07 0.5 0.5
9 0.1593946 -0.4484935 1.49273 -0.302051 29.69342 344.7924 2.122665 -0.481119 1.491637 -0.3115663 29.69342 344.7924 2.122665 -0.415868 1.493824 -0.2925356 29.69342 344.7924 2.122665 26.00042 6.423228 2.374784E-07 26.58133 3.276783 5.966772E-08 0.5 0.5
10 0.179176 -0.4571677 1.496483 -0.3041842 28.21916 345.9465 2.336278 -0.4899658 1.495262 -0.3130698 28.21916 345.9465 2.336278 -0.4243695 1.497705 -0.2952985 28.21916 345.9465 2.336278 24.95019 7.043166 2.354134E-07 25.51768 3.921608 5.912871E-08 0.5 0.5
11 0.2055587 -0.4634689 1.49859 -0.3056484 27.44226 346.6389 2.14786 -0.496392 1.49746 -0.3140718 27.44226 346.6389 2.14786 -0.4305459 1.499721 -0.297225 27.44226 346.6389 2.14786 25.30987 8.03619 1.180538E-07 25.92539 4.672367 -1.186635E-07 0.5 0.5
12 0.2119997 -0.4761706 1.505236 -0.3079299 25.273 348.2212 1.98751 -0.5093341 1.50417 -0.3153597 25.273 348.2212 1.98751 -0.443007 1.506302 -0.3005002 25.273 348.2212 1.98751 24.4469 8.162155 -2.344643E-07 24.98863 5.055864 0 0.5 0.5
13 0.2375403 -0.4796554 1.509011 -0.3092828 24.27991 348.672 1.811187 -0.5128919 1.508032 -0.3163917 24.27991 348.672 1.811187 -0.4464189 1.509991 -0.3021739 24.27991 348.672 1.811187 21.65293 9.200477 1.148241E-07 22.13293 6.147964 -1.152114E-07 0.5 0.5
14 0.2560896 -0.4958265 1.521905 -0.3136325 19.62337 351.0335 1.55158 -0.5293528 1.521038 -0.3192355 19.62337 351.0335 1.55158 -0.4623002 1.522772 -0.3080295 19.62337 351.0335 1.55158 17.41996 11.91352 2.237033E-07 17.82239 9.176536 1.121015E-07 0.5 0.5
15 0.2777862 -0.5029196 1.526285 -0.3161547 17.62793 351.7245 1.943171 -0.5364983 1.525186 -0.3213915 17.62793 351.7245 1.943171 -0.4693409 1.527384 -0.310918 17.62793 351.7245 1.943171 7.233873 13.69663 5.378899E-08 7.354956 12.31513 2.690177E-07 0.5 0.5
16 0.2978457 -0.5133345 1.531194 -0.3210375 15.45147 352.8465 1.562986 -0.5470288 1.5303 -0.3255153 15.45147 352.8465 1.562986 -0.4796401 1.532088 -0.3165596 15.45147 352.8465 1.562986 7.672144 14.53344 1.076857E-07 7.822744 12.79251 5.38621E-08 0.5 0.5
17 0.3165198 -0.523635 1.536394 -0.3254625 13.4727 353.7865 1.325502 -0.5574088 1.535629 -0.3293239 13.4727 353.7865 1.325502 -0.4898612 1.537159 -0.3216011 13.4727 353.7865 1.325502 8.596203 15.20663 0 8.772201 13.21306 2.159697E-07 0.5 0.5
18 0.342441 -0.5308155 1.538982 -0.3291822 12.47677 354.2655 0.8805141 -0.5646325 1.538472 -0.3326916 12.47677 354.2655 0.8805141 -0.4969986 1.539492 -0.3256728 12.47677 354.2655 0.8805141 9.005065 16.07183 2.16107E-07 9.204116 13.6322 -2.162274E-07 0.5 0.5
19 0.3583219 -0.5447422 1.54578 -0.3357038 9.729466 355.3786 0.1625223 -0.5786325 1.545685 -0.3384596 9.729466 355.3786 0.1625223 -0.5108518 1.545875 -0.3329479 9.729466 355.3786 0.1625223 9.177044 16.23011 2.162109E-07 9.364207 13.78622 0 0.5 0.5
