#Frame, Timer, HeadX, HeadY, HeadZ, HeadRX, HeadRY, HeadRZ, LHandX, LHandY, LHandZ, LHandRX, LHandRY, LHandRZ, RHandX, RHandY, RHandZ, RHandRX, RHandRY, RHandRZ, LEyeRX, LEyeRY, LEyeRZ, REyeRX, REyeRY, REyeRZ, LEyeConf, REyeConf
1 0.00776405 -0.3821693 1.670932 -0.1188528 2.1904 212.916 354.6917 -0.3540173 1.674052 -0.1372184 2.1904 212.916 354.6917 -0.4103213 1.667811 -0.1004871 2.1904 212.916 354.6917 12.2322 229.4962 -4.368036E-07 12.12788 226.5916 -8.732639E-07 0.5 0.5
2 0.01734445 -0.3808537 1.671527 -0.1202461 2.040101 213.2313 354.8303 -0.3527909 1.674566 -0.1387613 2.040101 213.2313 354.8303 -0.4089165 1.668487 -0.1017309 2.040101 213.2313 354.8303 12.04181 229.8183 -4.364915E-07 11.94182 226.9155 4.363298E-07 0.5 0.5
3 0.022605 -0.3809943 1.671984 -0.1205283 1.812356 213.4617 354.9484 -0.3529931 1.674955 -0.1391476 1.812356 213.4617 354.9484 -0.4089955 1.669013 -0.1019089 1.812356 213.4617 354.9484 11.55869 229.6869 8.714466E-07 11.44141 226.5612 4.355419E-07 0.5 0.5
4 0.0305941 -0.3778582 1.672694 -0.1233796 1.626121 214.295 354.948 -0.3501253 1.675666 -0.1423962 1.626121 214.295 354.948 -0.405591 1.669723 -0.1043629 1.626121 214.295 354.948 11.33851 229.9845 -8.707687E-07 11.22079 226.8613 -4.352059E-07 0.5 0.5
5 0.0367005 -0.3761987 1.673246 -0.1249669 1.417041 214.9858 354.9611 -0.3486903 1.67621 -0.1443079 1.417041 214.9858 354.9611 -0.4037071 1.670282 -0.105626 1.417041 214.9858 354.9611 11.16643 230.809 -4.351242E-07 11.04567 227.6878 4.349443E-07 0.5 0.5
6 0.04501355 -0.3747664 1.673954 -0.1266906 1.171073 215.665 355.133 -0.3474734 1.676817 -0.1463493 1.171073 215.665 355.133 -0.4020593 1.67109 -0.1070318 1.171073 215.665 355.133 10.88037 231.3072 -8.694025E-07 10.75909 228.2034 4.345254E-07 0.5 0.5
7 0.0497715 -0.3735021 1.674675 -0.1283574 0.7716432 216.3811 355.4626 -0.3464307 1.677346 -0.148347 0.7716432 216.3811 355.4626 -0.4005734 1.672005 -0.1083678 0.7716432 216.3811 355.4626 10.57369 231.9346 -4.342606E-07 10.4586 228.8336 -4.340987E-07 0.5 0.5
8 0.05809385 -0.3735913 1.674892 -0.128499 0.4352357 216.6996 355.8784 -0.3466063 1.677318 -0.1486358 0.4352357 216.6996 355.8784 -0.4005764 1.672465 -0.1083622 0.4352357 216.6996 355.8784 9.555993 232.3138 -4.328937E-07 9.463944 229.6421 -4.327772E-07 0.5 0.5
9 0.0649125 -0.3704771 1.676085 -0.1317688 359.6046 218.1011 356.7823 -0.3439464 1.67798 -0.1525558 359.6046 218.1011 356.7823 -0.3970079 1.674191 -0.1109818 359.6046 218.1011 356.7823 9.0974 232.7051 0 9.022244 230.0362 0 0.5 0.5
10 0.06975394 -0.3701189 1.676155 -0.1319966 359.3974 218.2993 357.4979 -0.3436422 1.677629 -0.1528864 359.3974 218.2993 357.4979 -0.3965956 1.674681 -0.1111068 359.3974 218.2993 357.4979 8.104326 233.7042 0 8.049801 230.6063 2.155674E-07 0.5 0.5
